DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
MW201000000001,MWGE62FL,MW,2010,1,MW2010DHS,41061.20703,47574.05859,55450.79688,114.7626257,130.7018814,151.4329318,176.5053684,6330.577836,0.008794311,0.014852495,0.023144254,7,3018.9,3055.3,3132.9,3188.5,3303.2,3411.3,3296.7,29.59366755,7.0,0.301668053,0.324083871,0.962642713,0.436791079,0.37932917,0.41430303,0.13690418,0.010555999,1506.78628,14294.01106,47162.04258,19717.15673,1141.6,840.7,634.8,1012.7,667.2,1097,877.7,4.260624626381102,0,0,1,20.91366577,18.43133291,22.54299927,21.83933258,21.93900045,16.90766652,17.15166728,21.61066691,19.10733287,23.79866536,23.57866669,21.11533356,342.8311346,35887.46484,41161.30469,47822.02734,55400.30469,114.2333485,131.0205021,152.2222408,176.3446468
MW201000000002,MWGE62FL,MW,2010,2,MW2010DHS,43813.86328,50763.32813,59168.10156,122.4560762,139.4638583,161.584692,188.3379167,5902.917553,0.000472558,0.001282354,0.003323826,4.857142857,2751.6,2703.4,2811,2905.7,2880.8,2991.2,2827.4,32.73670213,7.0,0.327198218,0.344788784,0.965992082,0.559791327,0.544109719,0.508594104,0.150470342,0.006161489,1598.808511,49756.05634,26180.23101,19897.25064,1093.1,782.7,766.8,955.6,610.6,928.3,851.1,1.6106646923308676,1,1,0,23.09900093,20.58950043,25.01874924,24.16674995,24.28224945,19.35224915,19.47274971,23.96099854,21.31675148,26.84700012,26.75274849,23.68549919,385.7845745,39277.42188,44569.64063,51215.86719,58659.28125,125.0239169,141.8695724,163.0251686,186.7182914
MW201000000003,MWGE62FL,MW,2010,3,MW2010DHS,32578.70508,37728.30469,43970.03125,91.07088307,103.7012391,120.0929237,139.9609564,5330.526455,7.44E-05,0.000170571,0.000878713,7,2613.583333,2618.75,2694.75,2727.25,2792.833333,2878.333333,2750.333333,38.29551451,7.0,0.20929778,0.336333478,0.942864046,0.432269067,0.205777124,0.42354241,0.404832512,0.010547594,1675.121693,4934.546789,10201.87295,148072.0899,1090.3,754.9,716.6,805.7,684.9,1047.1,702.6,0.3737558651725346,1,1,1,21.19033305,18.33199819,22.64333344,21.92633311,22.01866659,16.48633321,16.79166667,21.69300079,19.25400035,23.98100026,23.92433421,21.32266617,350.060686,23601.29102,27524.25195,32501.18555,38276.16797,75.12524258,87.61241505,103.4544867,121.8368267
MW201000000004,MWGE62FL,MW,2010,4,MW2010DHS,14540.12695,16846.24414,19635.10547,40.63761292,46.28266155,53.62326055,62.50048187,4429.383812,0.000104142,0.000310579,0.000555317,10,2991.9,2854.1,2917.7,3236.6,3066.7,2902.4,2914.4,20.35340314,7.0,0.273009908,0.274777968,0.914495034,0.590756357,0.153674424,0.319121659,0.12199875,0.000144244,1812.845953,9083.939384,6169.695362,43555.39926,1074.363636,562.5454545,767.6363636,963.7272727,646.6363636,855.2727273,680.4545455,0.810948464017624,0,0,0,25.57374954,22.38275146,27.97249985,27.03300095,27.20425034,20.71299934,20.42950058,26.55224991,22.88574982,28.76049995,28.68799973,25.4469986,215.2793734,13943.85645,15320.21875,17066.55078,18958.90039,44.3846736,48.76577087,54.32451836,60.34805425
MW201000000005,MWGE62FL,MW,2010,5,MW2010DHS,25671.81641,29743.71094,34668.3125,71.75056717,81.7159296,94.67717244,110.3526661,11519.53482,0.001210011,0.002184881,0.002774009,7,3603.6,4002,3882.1,3867.9,4396.7,4385.5,4356,24.33615819,10.0,0.313991377,0.336372237,0.896983092,0.376534734,0.294095312,0.411557947,0.224004371,0.028319333,1549.746518,41771.23704,79942.11132,8896.163776,1937,1390,1186.833333,1538,982.8333333,1464,1365.75,1.7761014550509227,1,1,1,23.44733429,20.16433207,24.07733154,23.96200053,24.05766805,19.34466553,19.74266561,23.98199972,21.5606664,25.60299937,24.72666677,22.29500071,378.1671309,22853.68555,25521.37695,28932.27344,32762.11719,72.74554046,81.23706592,92.09428666,104.2850579
MW201000000006,MWGE62FL,MW,2010,6,MW2010DHS,58525.41016,67808.32031,79035.19531,163.5736065,186.2921665,215.8405872,251.5768402,7121.113456,0.003585996,0.006720958,0.015275162,7,2912.909091,2862.636364,2975.090909,3091.545455,3112.636364,3257.090909,3061.727273,35.15608466,8.0,0.352757327,0.361735056,0.972702351,0.4723095,0.40211007,0.505679727,0.183096409,0.009654859,1562.794195,64798.55971,33778.75058,42105.883,1421.833333,845.5833333,970.5833333,1185.5,792.75,1070.833333,1052.25,3.9576618929337073,1,1,1,22.89499919,20.44866689,24.91399892,24.07666779,24.2536672,19.054334,19.16433462,23.77966817,21.12299983,26.53999837,26.40466563,23.64233398,80.40105541,57626.3125,61248.94531,65923.125,70712.0625,183.4302497,194.9614481,209.8398242,225.0834857
MW201000000007,MWGE62FL,MW,2010,7,MW2010DHS,41896.57031,48541.92188,56578.90625,117.097379,133.3609253,154.5137363,180.0962521,8689.406824,0.006058659,0.015188127,0.050895359,7,2588.9,2460.2,2602.6,2810.9,2707.1,2759.9,2621.6,24.35958005,10.0,0.329799903,0.35721631,0.972514314,0.361393481,0.267804563,0.515142322,0.194892108,0.00072092,1633.317585,22189.21639,61319.4075,6696.975591,1218.3,873,927.4,1094.3,793,990.4,1029.9,0.2513857463526288,1,1,1,22.8143336,19.68533325,24.81200155,24.08366648,24.21966553,19.1243337,19.08599981,23.71000163,20.94666672,26.07666779,25.21466573,22.52866618,168.0026247,37555.60938,42784.95703,49389.78906,56850.57422,119.5432175,136.188748,157.2125813,180.9609981
MW201000000008,MWGE62FL,MW,2010,8,MW2010DHS,28630.70898,33156.36719,38609.10547,79.92986297,91.13437717,105.5399947,122.8965997,6962.977918,0.001254659,0.002840684,0.006690145,5.153846154,2643.222222,2479,2768.888889,3120.666667,3139.666667,3174.555556,3045.777778,24.64102564,7.0,0.28202927,0.360619534,0.963020795,0.486523445,0.342377589,0.475142332,0.237305935,0.004331559,1582.252366,4818.458933,38895.92502,5129.989727,1017,784.25,586.625,972.75,602.375,961.75,698.75,1.0742138402319106,1,1,1,24.1174984,21.4470005,25.44600105,24.6515007,24.72500038,20.17074966,20.36050034,24.76000023,22.04400063,26.78975105,26.22175026,23.63999939,347.8107256,24402.86719,28882.60156,34598.10156,41327.92969,77.67673878,91.93617615,110.1291777,131.550886
MW201000000009,MWGE62FL,MW,2010,9,MW2010DHS,93420.14063,108237.8281,126158.5313,261.1014429,297.3655433,344.5317074,401.5750774,6930.682415,0.004998454,0.009453538,0.018146067,9.4,3221.272727,3081.545455,3223.272727,3383.454545,3359.818182,3501.090909,3254,28.15526316,7.0,0.27956519,0.268720114,0.925454104,0.525973988,0.233074983,0.329916255,0.109321149,0.15535727,1533.545932,49869.42349,21834.35469,60409.79148,1350.2,752.8,916.2,1155.3,706.6,980.3,849.4,3.206389820168963,1,1,1,21.86474991,18.82575035,23.78800011,23.39525032,23.5359993,17.92950058,17.97224998,22.87750053,20.03499985,24.47124863,23.67925072,21.04949951,151.3070866,93829.50781,99496.15625,107163.8984,115394.8047,298.6685995,316.7061017,341.113283,367.3130715
MW201000000010,MWGE62FL,MW,2010,10,MW2010DHS,45771.89063,53031.91797,61812.30078,127.9285692,145.696453,168.8058377,196.7546643,6485.181579,0.008540629,0.014514642,0.033376217,7,2729.1,2707.4,2753,2778.3,2975.1,3032.2,2933.1,30.06068602,7.0,0.2842809,0.310259471,0.957371752,0.407208341,0.338790621,0.391982624,0.147463867,0.002506422,1455.147368,30349.19549,53488.43317,23301.69235,1122.909091,839.0909091,578.1818182,1006.181818,678.5454545,1055.363636,864.4545455,2.8364187140213817,1,1,1,19.41600037,16.77899933,20.90750122,20.13249969,20.31150055,15.20849991,15.4545002,19.92499924,17.66849899,22.0095005,21.74300003,19.46350098,245.2236842,41231.0625,45756.29688,51431.78516,57631.48438,131.2425481,145.6468165,163.7124568,183.4467123
MW201000000011,MWGE62FL,MW,2010,11,MW2010DHS,35179.48047,40759.41406,47507.86328,98.32369816,111.9797642,129.7412445,151.2222255,7500.954357,0.002297979,0.010223336,0.029428726,7,2364.166667,2855.833333,2854.166667,2748.5,2968.166667,2806.833333,2761.833333,35.81132075,8.0,0.365248521,0.370234786,0.968012487,0.453573585,0.363931417,0.521119416,0.194806576,0.007179215,1570.543568,26641.28683,16150.12176,2307.448304,1190.571429,925.2857143,777.2857143,1076,768.1428571,1201.428571,860,0.2284428450081853,1,1,1,24.24850082,21.33250046,25.49599838,24.69549942,24.56349945,20.17250061,20.4375,24.91799927,22.27700043,27.05350113,26.42449951,23.70700073,192.0871369,26307.70117,31835.50781,39019.01953,47675.65625,83.74001365,101.3355687,124.2013967,151.7563271
MW201000000012,MWGE62FL,MW,2010,12,MW2010DHS,19353.79297,22423.56055,26136.18164,54.09221431,61.60503638,71.37641007,83.19405003,6074.165789,0.001284392,0.002415506,0.003935466,7,3115.9,3142.6,3146.4,3366.5,3300.3,3368.6,3176.6,23.79527559,7.0,0.329286947,0.343030121,0.971482486,0.497378707,0.417895555,0.52169162,0.23171854,0.000241429,1592.089474,53376.21814,54878.60208,21317.85447,924.3636364,785.4545455,537.3636364,942.4545455,617.9090909,1011.636364,742.7272727,1.3589286402652139,0,0,0,22.87700144,20.89766693,24.83633423,23.69333394,23.79366557,19.26966731,19.36066691,23.55500031,20.9350001,26.45233409,25.92066701,23.43599955,443.5736842,17598.12891,20279.21875,23668.19531,27521.16016,56.0165841,64.55075812,75.33820555,87.60257358
MW201000000013,MWGE62FL,MW,2010,13,MW2010DHS,16298.0625,18883.15234,22009.5957,1138.792785,1296.958605,1502.673518,1751.467976,5976.785714,0.007109411,0.014379432,0.030933551,7,2274,2249,2462,2640,2798,2681,2687,50.66666667,8,0.242577678,0.258720386,0.820104459,0.304347426,0.190922976,0.199740082,0.176901713,1.572603695,1533.071429,29469.59829,78546.60173,51937.77411,948,781,820,829,605,951,713,0.36663995470319477,2,2,2,19.75099945,17.25399971,20.77300072,20.29100037,20.17200089,15.83600044,16.23399925,20.21999931,18.18700027,21.98699951,22.0510006,19.87100029,81,10632.41309,13067.58203,16268.125,20182.19141,846.1005501,1039.885137,1294.576254,1606.047763
MW201000000014,MWGE62FL,MW,2010,14,MW2010DHS,96551.46875,111865.8203,130387.2031,269.8532241,307.3328703,356.0799653,415.0353578,7383.905759,0.005296604,0.00855229,0.017533295,7,3687.916667,3677.25,3726.25,3810.333333,3723.416667,3843.333333,3696.333333,28.22193211,9.0,0.263086069,0.272027272,0.915651355,0.553743541,0.118118972,0.299547493,0.087766036,0.035335401,1607.251309,20141.06682,29078.74395,23859.60706,1679.090909,1016.090909,1119.363636,1461.272727,911.4545455,1262.454545,1027.272727,5.148435263109457,1,1,1,23.32625008,19.89599991,25.27275085,24.81324959,24.98500061,18.94250107,18.93399811,24.29924774,21.12750053,25.78524971,24.88400078,22.3010006,160.3429319,88019.84375,97626.95313,109861.5313,123424.125,280.1758645,310.7562434,349.7001152,392.8711918
MW201000000015,MWGE62FL,MW,2010,15,MW2010DHS,28770.92969,33334.38281,38853.48438,80.41233869,91.58071355,106.106636,123.6744819,6012.840849,5.88E-06,3.39E-05,0.000284921,10,3135.4,3166.1,3186.1,3298.1,3306.8,3337.1,3230.3,20.7962963,7.0,0.275507871,0.284516165,0.937180593,0.467412608,0.577733925,0.412398338,0.174090658,0.00434033,1647.970822,10736.43275,11048.81721,102858.8278,1435.416667,784.0833333,865.25,1131.666667,701.3333333,1026.583333,883.8333333,2.4760547911140582,1,1,1,23.48725128,20.5652504,25.52974892,24.75899887,24.93050003,19.40999985,19.43625069,24.4375,21.55299759,26.93575096,26.7404995,23.46275139,490.3474801,23623.07031,28206.30078,34134.54297,41210.04688,75.19456822,89.78344391,108.6536249,131.1756533
MW201000000016,MWGE62FL,MW,2010,16,MW2010DHS,16967.04883,19658.25,22913.02344,1185.536933,1350.194845,1564.35383,1823.360471,5584.133333,0.010179822,0.015349299,0.021611399,7,2497,2328,2558,2727,2845,2792,2838,45.53333333,8,0.23246818,0.222574848,0.721147152,0.24717246,0.124538675,0.141258314,0.129286945,1.250699197,1602.266667,45187.04705,9994.689968,42520.22184,791,564,641,673,510,665,623,0.6292057037353516,2,2,2,20.21199989,18.2140007,22.51399994,21.25300026,21.31699944,16.86800003,17.3010006,20.79899979,18.88899994,23.45100021,23.10099983,20.77899933,67.53333333,14201.27734,15949.24805,18138.19141,20561.51172,1130.101743,1269.200833,1443.391411,1636.233114
MW201000000017,MWGE62FL,MW,2010,17,MW2010DHS,50045.87109,57970.9375,67538.51563,139.7990287,159.3009553,184.5272252,214.9817722,6705.827225,0.00014555,0.000313852,0.001422104,10,3050.888889,3099.555556,3193.888889,3199.666667,3301,3442.444444,3271,23.80839895,7.0,0.225344671,0.278675284,0.924485446,0.471718115,0.618290228,0.41339058,0.177212799,0.11804836,1598.950262,4166.594133,27428.32478,118270.0294,1498.3,873.6,916.5,1208.1,766.6,1108.2,946.3,2.3261958416843913,1,1,1,22.69924927,19.4659996,24.94124985,24.17625046,24.37024879,18.4572506,18.54150009,23.75024986,20.70100021,25.58699989,25.10925102,22.06799889,251.1230366,39374.08984,48737.04688,61331.38672,77318.65625,125.3316206,155.1348385,195.2238673,246.1129267
MW201000000018,MWGE62FL,MW,2010,18,MW2010DHS,14903.16309,17267.00391,20125.86328,41.65308674,47.43824147,54.96258049,64.0626125,9106.083333,0,2.12E-05,3.94E-05,7,3410.545455,3385.727273,3463.636364,3516.727273,3941.272727,3886.909091,3928.727273,21.1155914,8.0,0.269071862,0.280043618,0.813122938,0.309206588,0.226061106,0.265497361,0.179785814,0.003704571,1515.290323,63981.3326,64463.79593,27707.08037,1491.8,1007.5,1039.7,1188.8,774.8,1185.6,1103.8,2.8208795362903225,1,1,1,20.42774963,16.86775017,21.83924866,21.50349998,21.61174965,15.69449997,16.10749817,21.13875008,18.26249886,22.94949913,22.18174934,19.17074966,251.4193548,13715.11719,15660.46875,18194.48438,21180.83203,43.65657392,49.84882025,57.91484252,67.42068233
MW201000000019,MWGE62FL,MW,2010,19,MW2010DHS,60201.08594,69749.78125,81298.09375,168.2569646,191.6260081,222.0204493,258.7798697,5918.625995,0.002578685,0.00611709,0.012885872,7,2544.666667,2502.25,2542.583333,2627.833333,2618.583333,2593.25,2569.25,31.46560847,7.0,0.211440379,0.256492653,0.908283903,0.407338142,0.326348305,0.601907372,0.294373572,0.002122481,1497.594164,83530.30801,31300.22078,55842.74216,929.8333333,755.5,616.1666667,856.25,668.6666667,961,787.3333333,1.0862410568115881,1,1,1,19.68700155,16.96333313,21.62533315,20.31833394,20.7443339,15.36899948,15.86466726,20.14533488,17.90266673,22.30000051,21.85866547,19.8686676,228.8116711,51668.00391,59754.37891,69994.39063,81726.25781,164.4643644,190.2040955,222.7990651,260.1427582
MW201000000020,MWGE62FL,MW,2010,20,MW2010DHS,3097.372803,3588.657471,4182.82373,216.4224159,246.4810961,285.5762878,332.8585364,7042.466667,0.003668588,0.004726193,0.013416876,10,3411,3557,3617,3626,3636,3755,3571,15,7,0.287653934,0.29753405,0.94577954,0.497032493,0.641085744,0.377810687,0.153254926,0.190105915,1572.933333,11359.75189,41967.69553,97015.42163,1812,1023,1097,1379,909,1272,1127,1.5874519348144531,1,1,0,21.23900032,18.61499977,23.09499931,22.56399918,22.68799973,16.85199928,17.09499931,22.15999985,19.18700027,23.94499969,23.49799919,21.13500023,104.5333333,2082.472412,2499.126221,3037.941406,3681.654785,165.7178891,198.8741457,241.7516958,292.9767789
MW201000000021,MWGE62FL,MW,2010,21,MW2010DHS,38941,45117.55859,52587.57813,108.8368147,123.9530528,143.6136494,167.3914601,4701.113402,0.006224667,0.010685221,0.022014431,8.2,2850.727273,2710.545455,2831.454545,3234.181818,3069.545455,3021.272727,3142.727273,33.52061856,7.0,0.242269004,0.263154598,0.891321202,0.600028865,0.160614395,0.284365177,0.101968082,0.009727942,1855.636598,14554.08843,12428.09941,7206.446048,1135.416667,653.9166667,707.4166667,1012.583333,638.5,832.5,680.3333333,0.3005864448154095,1,1,1,26.07550049,23.05750084,28.92100143,27.82374954,28.18350029,21.41825104,21.21800041,27.22999954,23.58850098,29.0739994,28.74250031,25.56549835,189.2912371,35753.1875,39643.57031,44526.75781,49849.04297,113.8059304,126.1894035,141.7330721,158.6744319
MW201000000022,MWGE62FL,MW,2010,22,MW2010DHS,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
MW201000000023,MWGE62FL,MW,2010,23,MW2010DHS,17304.08984,20048.74609,23368.17383,48.36347256,55.08062867,63.81714086,74.38320752,8720.362903,3.77E-05,0.000141252,0.000242213,7,2782.583333,2824.916667,2950.666667,2952.333333,3133.916667,3082.083333,3087.416667,31.76075269,8.0,0.221967851,0.258778787,0.72175586,0.407051086,0.262054137,0.133265734,0.159776943,0.00045967,1508.63172,11223.83105,53175.47581,48450.52051,1198.4,846.9,1021.6,1195.8,833.6,1048.5,1223.7,2.673090124642977,1,1,1,20.26439972,17.96759949,21.10100098,20.91119843,20.74779968,17.12820129,17.50220032,21.00220032,18.81759949,22.47059937,22.38680115,20.20979919,319.6102151,15018.64844,17152.01953,19872.90234,22983.14453,47.80584276,54.59657384,63.25741282,73.15762119
MW201000000024,MWGE62FL,MW,2010,24,MW2010DHS,62226.78906,72096.78125,84033.70313,4347.966013,4951.850536,5737.279558,6687.18962,7887.647059,0.393581794,0.484208034,0.588318678,7,3093,3089,3035,3129,3033,3035,2901,62.76470588,9,0.186626028,0.157655182,0.699753199,0.364561886,0.21186769,0.253487706,0.093537852,11.89088808,1415.882353,53552.15322,28676.97531,69786.70979,1392,782,910,1165,730,1017,878,3.0749671038459327,3,3,3,19.95899963,16.39400101,21.8220005,21.62400055,21.72200012,15.92700005,16.04899979,21.11299896,18.29299927,22.4489994,21.75699997,19.0189991,6.058823529,54338.30469,61341.17188,70405.60156,80831.58594,4324.104895,4881.37536,5602.699755,6432.37323
MW201000000025,MWGE62FL,MW,2010,25,MW2010DHS,41022.23438,47528.90625,55398.16406,114.6537041,130.5778276,151.2892074,176.337833,5833.734211,0.001510612,0.003005005,0.006062454,7,2773.5,2780.166667,2883.583333,2995.25,3003.5,3038.583333,2892.25,26.9525066,7.0,0.323657754,0.340702678,0.965125511,0.550982952,0.533240795,0.50525564,0.152804241,0.004545469,1585.142105,37528.1574,39583.03774,30854.31057,1031.636364,811.5454545,741.0909091,945.0909091,617.1818182,939,855.9090909,1.4173103734066612,1,1,1,22.60499954,20.12725067,24.41200066,23.65499878,23.72674942,18.79650116,18.96324921,23.38349915,20.81750107,25.64049911,25.41450119,22.88125038,228.6947368,35519.17188,40525.9375,46823.96875,53935.05078,113.0610356,128.9980655,149.0453216,171.6805988
MW201000000026,MWGE62FL,MW,2010,26,MW2010DHS,60154.24219,69605.51563,80916.53125,167.6020917,191.4768998,221.5612376,257.5653185,6532.869452,0.005588937,0.007066041,0.009723516,7,3457.7,3287.5,3362.9,3610.7,3623.1,3625.8,3562.7,32.30809399,9.0,0.143627776,0.275943044,0.894826733,0.521035363,0.206512648,0.383071956,0.121942997,0.008629669,1726.08094,0.979960329,39784.49169,18056.29167,1499.9,909.6,999.1,1318,827,1085,889.4,3.0038393184970626,1,0,0,24.43400065,21.23133214,26.41566722,25.69700114,25.98233287,20.23933156,20.15600077,25.28633372,22.29133352,27.16900126,26.75866699,23.94999949,377.6057441,52691.87891,58784.00391,66169.15625,74168.21875,167.7234598,187.1152959,210.6229659,236.0847727
