DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
NG201300000001,NGGE6AFL,NG,2013,1,NG2013DHS,48671.875,55579.32031,63520.01563,136.3569425,154.9273899,176.9144712,202.1904895,9393.227642,9.49E-05,9.49E-05,0.000211999,-9999,3427,3433.333333,3461.083333,3506.416667,3792.25,3830,3837,24.12195122,10.0,0,0.214120778,0.405447317,0.500159454,0.564168676,0.530365435,0.394777997,0.003712943,1704.184282,144331.6049,132710.4505,101377.4007,1495.25,1700.833333,1858.416667,1639.416667,1452.833333,1702.5,1388.416667,0.021756174764659023,0,0,0,29.0114994,25.46350098,26.58325005,28.57999992,27.05574989,25.58799934,26.36075211,29.4157505,27.53699875,26.99475098,26.27774811,25.7852478,257.5609756,49508.20313,55826.14844,63210.875,71548.84375,157.589505,177.7001496,201.2064643,227.7470431
NG201300000002,NGGE6AFL,NG,2013,2,NG2013DHS,36466.21094,41641.44531,47590.81641,102.1621051,116.0755545,132.5488372,151.4862735,7367.922872,0.001212296,0.001588796,0.001813835,2,3198.2,3160.6,3198.4,3356.2,3474,3479.5,3531.9,28.38933333,9.0,0,0.164893212,0.33171908,0.483469099,0.52893883,0.485361099,0.371155143,0,1774.351064,232156.8944,166279.9456,12997.24157,1277.4,1287.8,1283,1289.2,1222.2,1336,1156.1,0.09958585779717628,0,0,0,29.84366608,25.56766764,26.11300151,28.76399994,26.60966746,25.89866638,26.56599935,30.14966583,27.96499888,26.92166646,26.48333486,25.82933553,213.1675532,26242.82813,29591.53906,33506.10938,37925.67188,83.53351635,94.1927943,106.6532586,120.721163
NG201300000003,NGGE6AFL,NG,2013,3,NG2013DHS,31511.09375,35983.10156,41124.05859,88.28006383,100.3029267,114.5377696,130.9019441,7524.44504,0.00149173,0.001924218,0.002539964,2,3213.6,3150.6,3162.8,3347.6,3526.7,3534.6,3598.9,25.73262032,9.0,0,0.16707795,0.331651595,0.485731761,0.53661747,0.497585297,0.378031794,0,1760.560322,221477.8768,168071.9031,18710.9892,1275,1292,1272.2,1378.9,1188.2,1365.1,1222,0.1366455446299535,0,0,0,29.41024971,25.26825142,25.90275002,28.42774963,26.48474884,25.53725052,26.21175003,29.75749779,27.60824966,26.60725021,26.11400032,25.49124908,196.3672922,26658.37109,30060.13281,34036.67969,38526.26563,84.85623068,95.68437453,108.3421164,122.6329123
NG201300000004,NGGE6AFL,NG,2013,4,NG2013DHS,73174.4375,83559.26563,95497.49219,205.0022475,232.9214687,265.9774033,303.9779587,8776.380435,0.002617592,0.003270458,0.0084571,-9999,2708.4,2708.6,2770.6,2924.7,3080.5,3114.2,3177.8,33.70652174,9.0,0,0.273921041,0.300583154,0.48767163,0.554387983,0.458790461,0.342254384,0.043750366,1757.828804,77002.57547,68546.97933,74537.58829,1505.6,1835.4,1721.6,1707.7,1478.8,1570.4,1356.3,0.05222260433694591,0,0,0,28.98250008,25.43774986,26.23675156,28.35224915,26.74175072,25.59250069,26.37574959,29.28775024,27.57775116,26.83549881,26.39450073,25.76449966,127.6875,35965.94141,40555.67969,45920.42188,51977.61328,114.4831472,129.0927379,146.1692426,165.4498817
NG201300000005,NGGE6AFL,NG,2013,5,NG2013DHS,53814.92188,61452.25781,70232.03125,150.7654633,171.2982166,195.6086119,223.5554987,8882.675749,1.92E-05,3.23E-05,0.000222025,-9999,2813.909091,2807.909091,2885.272727,3011.636364,3178.545455,3179.454545,3251.545455,28.9048913,9.0,0,0.275669556,0.312850299,0.499456793,0.564631343,0.478519201,0.358685762,0.011013191,1754.501362,78450.24201,70053.63334,76149.73835,1515.5,1851.8,1732.7,1725.5,1494.7,1591.9,1368.2,0.041992659154145615,0,0,0,28.98250008,25.43774986,26.23674965,28.35224915,26.74175072,25.59249878,26.37574959,29.28775024,27.57775116,26.83549881,26.39450073,25.76449966,177.3206522,36914.33594,41625.10547,47131.3125,53348.22656,117.5019807,132.4968258,150.0236272,169.8126792
NG201300000006,NGGE6AFL,NG,2013,6,NG2013DHS,30258.54297,34552.78906,39489.39453,84.77098331,96.31593369,109.9849435,125.6986468,7845.603261,0.000373887,0.000533883,0.001012927,2,2819.444444,2734.555556,2719.777778,2982.111111,3244.666667,3295.111111,3313.777778,24.54891304,9.0,0,0.216483092,0.284950596,0.51467824,0.565098592,0.486205169,0.384577819,0.041403167,1766.682065,131340.0546,122657.0656,30133.21592,1173.090909,1379.090909,1464.727273,1485.272727,1225.363636,1317.363636,1168.818182,0.0782464483509893,0,0,0,29.35499954,25.59375,25.87174988,28.55999947,26.69449997,25.79650116,26.43700027,29.74550056,27.71025085,26.54574966,26.39550018,25.83374977,133.8994565,54453.53906,61402.80078,69524.82813,78695.85938,173.3309982,195.4511853,221.3044013,250.4967004
NG201300000007,NGGE6AFL,NG,2013,7,NG2013DHS,56854.85938,64923.625,74199.34375,159.2820184,180.9746382,206.6583168,236.1838466,8002.447154,0.002212208,0.003969551,0.006504515,2,2766.9,2765.1,2758.9,2983.6,3190.2,3237,3306.1,32.82926829,9.0,0,0.236697677,0.275637332,0.499138151,0.556907858,0.464166607,0.364215204,0.157635782,1764.365854,111822.5984,102892.9171,39770.79437,1226.166667,1432.5,1531.333333,1493.916667,1255.166667,1337.916667,1152.583333,0.5077177631822705,0,0,0,29.17475128,25.51325226,26.04700089,28.45825005,26.71850014,25.74950027,26.4347496,29.59199905,27.68650055,26.70049858,26.41799927,25.75799942,124.8753388,45895.75391,51752.63281,58598.46875,66328.03125,146.090722,164.7337466,186.5247192,211.1286808
NG201300000008,NGGE6AFL,NG,2013,8,NG2013DHS,19611.41406,22394.63672,25594.19141,54.94245608,62.42506977,71.28434265,81.46884155,8531.201072,2.14E-06,6.28E-06,0.000187915,-9999,3035.888889,2978.222222,2994,3096.222222,3283.111111,3444.666667,3451.333333,22.49061662,9.0,0,0.216136446,0.327907442,0.512267367,0.562741661,0.526828893,0.398950609,0.001362064,1747.112601,123642.5314,106899.2324,52643.94178,1267.8,1555.5,1642.8,1505.3,1267.2,1402.7,1257.4,0.05708011289703942,0,0,0,29.13300133,25.48849869,26.12125015,28.5320015,26.82875061,25.61275101,26.26574898,29.49900055,27.5142498,26.56650162,26.24124908,25.66475105,227.5201072,49640.76172,55975.53906,63379.98047,71740.28906,158.0114521,178.1756747,201.7447437,228.3564325
NG201300000009,NGGE6AFL,NG,2013,9,NG2013DHS,27362.63672,31245.90234,35710.05078,1916.448394,2177.449445,2486.469904,2841.71555,8413.133333,0.043719947,0.077713122,0.121476193,-9999,2799,2767,2778,2983,3148,3142,3208,47.53333333,9,0,0.224643012,0.243393185,0.444628537,0.496931553,0.406758219,0.306141794,2.157450358,1745.2,106915.0638,98390.61117,51481.29394,1296,1555,1582,1547,1321,1433,1204,1.0849773406982421,0,0,3,29.00600052,25.40600014,26.21000099,28.3939991,26.82699966,25.59600067,26.29599953,29.41399956,27.58500099,26.72800064,26.34600067,25.72699928,4.266666667,2113.732666,2383.470703,2698.754883,3054.741699,168.2055011,189.670572,214.7600899,243.0886206
NG201300000010,NGGE6AFL,NG,2013,10,NG2013DHS,22438.03125,25622.40234,29283.10938,62.86137815,71.42247173,81.55863973,93.21103214,8402.151596,9.80E-05,0.00012596,0.000750679,-9999,3166.5,3060.8,3051.2,3333.4,3602.8,3669.2,3651.7,27.032,9.0,0,0.208959375,0.371228417,0.504407133,0.565108776,0.541637148,0.39769813,0.046944782,1729.359043,163316.0385,145590.3422,56114.86477,1223.25,1364.5,1406.416667,1412.166667,1196.583333,1359.166667,1255.166667,0.020706476847330728,0,0,0,29.0767498,25.24300003,26.13199997,28.47299957,26.88975143,25.32875061,26.06749916,29.44775009,27.4252491,26.49899864,25.98974991,25.50249863,226.12,24399.80859,27513.54297,31153.11719,35262.39844,77.66700295,87.57832731,99.16345187,112.2437003
