DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
RW201000000001,RWGE61FL,RW,2010,1,RW2010DHS,162627.9375,185834.3438,209592.3438,460.9796099,517.6608028,591.5290882,667.153151,8044.090659,0.003444608,0.006543117,0.016548875,1,3044.9,3066.3,3135.5,3166.5,3356.9,3429.2,3371.3,33.37362637,11.0,0.158808896,0.448003539,0.771512707,0.172909037,0.086609491,0.055106171,0.047857972,0.195758218,1492.607143,26770.88933,27352.15162,39327.47432,1192.222222,1110.444444,1201.111111,965.3333333,1060.555556,1294.222222,1175.777778,3.882420466496394,0,0,1,18.58466593,19.53766632,18.63133494,18.71533457,18.81666565,18.66766612,18.24966685,18.695666,18.46933238,18.32899984,18.95366669,19.48966726,152.5164835,148156.7031,160600.7188,174999.5,185659.4375,471.597433,511.2079652,557.0407093,590.9723442
RW201000000002,RWGE61FL,RW,2010,2,RW2010DHS,119486.5859,136536.875,153992.4531,338.6926111,380.3376156,434.6103714,490.1732022,5757.29589,0.000320897,0.000608158,0.001625851,-9999,3187.454545,3208.909091,3244.454545,3363.363636,3461.909091,3650.181818,3460.272727,26.5521978,11.0,0.172286845,0.436559948,0.753288135,0.293230593,0.119069614,0.049213655,0.037082389,0.00510346,1578.684932,55096.67125,40841.57243,27267.65523,959.3,904,887.3,761.3,949.9,1022.3,844.7,4.082619528574487,1,0,0,19.92399979,20.50975037,19.65174866,19.88774872,20.1447506,19.86124992,19.57649994,19.86700058,19.90050125,19.5094986,20.09675026,20.37999916,108.2164384,105083.3359,121824.4219,142683.1094,163451.3438,334.4906469,387.7791787,454.1744431,520.2817864
RW201000000003,RWGE61FL,RW,2010,3,RW2010DHS,113063.5391,129197.2813,145714.5313,320.4860814,359.8924226,411.2477191,463.8237587,11595.2038,0.001199707,0.00283423,0.010785569,-9999,3379.4,3363.5,3381.3,3581,3931.3,3906.5,3908.9,34.98910082,13.0,0.06219552,0.371265128,0.677782518,0.143630654,0.06525588,0.033077411,0.046145212,0.000477312,1300.951087,34140.49805,8592.567353,17205.35124,1323,1417.7,1352,1018.9,1051.2,1463.7,1269.9,5.816416201384171,0,0,1,15.27399921,15.52524948,15.39050007,15.57749939,15.60449982,15.22175026,14.9232502,15.52124977,15.03199959,15.11050034,15.50749969,15.72350025,438.5842391,104046.0156,115398.0625,128489.8203,139117.0313,331.1887538,367.3234414,408.9958008,442.823264
RW201000000004,RWGE61FL,RW,2010,4,RW2010DHS,97472.07813,113336.1641,130376.9766,271.5810499,310.263261,360.760215,415.0028058,5525.948229,2.84E-05,0.000279952,0.002524244,-9999,3513.666667,3555.444444,3589.777778,3624.555556,3786.777778,3791.555556,3705.666667,32.83606557,10.0,0.147420869,0.440885816,0.764525499,0.3791278,0.173989981,0.129899114,0.126073837,0,1582.381471,3141.416949,49519.92663,16789.82648,1115.777778,988,970,813.1111111,846.4444444,1112.666667,903.1111111,3.514166475966451,1,0,0,20.34424973,20.92124939,20.12899971,20.27975082,20.38274956,20.20425034,20.06500053,20.16300011,20.33975029,19.80749893,20.63024902,21.16749954,422.0653951,73205.14063,94038.28125,124630.7969,166101.375,233.0191998,299.333146,396.7121478,528.7170977
RW201000000005,RWGE61FL,RW,2010,5,RW2010DHS,87636.15625,100141.5,112944.1094,248.4104278,278.9545492,318.7602947,359.5122661,6173.804878,0.002224451,0.006073729,0.019371682,-9999,3508.555556,3457.555556,3453.111111,3580.444444,3679.555556,3751,3738.222222,29.4796748,11.0,0.12964898,0.412801122,0.732131666,0.244377285,0.105485417,0.04837662,0.087233499,0.032818803,1619.357724,18347.39022,56349.52955,16924.4598,1057.555556,997.4444444,922,737.4444444,955.7777778,1090.666667,848.1111111,2.373243378429878,0,0,0,20.66899872,21.28574944,20.52300072,20.60199928,20.76850128,20.52550125,20.11325073,20.65875053,20.52375031,20.34149933,20.97674942,21.40224838,144.5176152,78056.98438,94473.74219,115203.3984,137120.0625,248.4630981,300.7192612,366.7038063,436.4667149
RW201000000006,RWGE61FL,RW,2010,6,RW2010DHS,5707.125,6521.509766,7355.253906,404.4305454,454.1585773,518.9652578,585.3125084,5862.142857,0.005698327,0.010031773,0.048310816,-9999,2838,2857,2980,3223,3204,3053,3137,35.71428571,11.0,0.177997128,0.420697193,0.739145921,0.271651953,0.108548425,0.037516676,0.058088746,0.136718178,1616.142857,35617.62349,64137.61881,19697.87354,1060,978,932,743,1026,1097,864,3.309037344796317,0,1,2,20.71999931,21.29599953,20.49500084,20.60599899,20.81399918,20.51600075,20.15600014,20.66300011,20.59600067,20.32900047,20.96899986,21.29400063,30.64285714,3672.906494,5416.353516,8015.512207,11530.53516,292.280612,431.0197178,637.8541946,917.5708336
RW201000000007,RWGE61FL,RW,2010,7,RW2010DHS,119189.4219,136197.2813,153609.4531,337.8502836,379.3917132,433.5294111,488.9540753,7943.284946,0.002122649,0.003382925,0.007139578,-9999,3361.4,3402.5,3435.2,3411.3,3642.2,3783.6,3733.6,37.04557641,13.0,0.108529848,0.388053956,0.698046786,0.220694721,0.10134463,0.047445312,0.04885643,0.005156332,1546.11828,34280.98126,36800.94341,24273.71342,1197.9,1347.6,1162.1,830.3,986.5,1320.3,1086.2,6.858060447118616,0,0,0,18.42500051,19.28600057,18.41433334,18.76666768,18.78100077,18.67400106,18.18000031,18.6609993,18.2840004,18.37333298,18.88866679,19.04500071,261.8844086,107866.1172,112334.1641,117778.7969,120445.1563,343.3485149,357.5707499,374.9015544,383.3888399
RW201000000008,RWGE61FL,RW,2010,8,RW2010DHS,137287.0625,156877.375,176933.4063,389.1491794,436.9982924,499.3561938,563.1965242,7561.528302,0.001104313,0.002181861,0.007761472,-9999,3189.888889,3219.111111,3240,3300.777778,3405.444444,3814,3665.777778,33.45552561,13.0,0.132870533,0.391707729,0.699119602,0.237686854,0.100216279,0.040530718,0.041937425,0.020212268,1504.479784,32360.39003,50134.45238,33325.91796,1237.333333,1291.777778,1122.666667,853.7777778,1095.777778,1245.222222,1041.222222,6.976240050117925,0,0,1,17.91633352,18.54333242,17.94499969,18.1256663,18.26800028,18.0036672,17.55033366,18.10833359,17.76733398,17.83233261,18.2859993,18.48900096,147.3638814,129399.8125,135880.9531,143373.6563,147241.9688,411.8923959,432.5225072,456.3725222,468.6857433
RW201000000009,RWGE61FL,RW,2010,9,RW2010DHS,88242.375,100834.2109,113725.375,6253.220095,7022.105086,8024.131549,9049.977793,5901.2,0.543019374,0.59086291,0.811946869,-9999,2568,2545,2538,2725,2567,2512,2552,51.5,11,0.135930628,0.291371082,0.561258674,0.17016533,0.058327604,0.018759467,0.030347882,10.99936018,1612.733333,42092.47633,63776.64433,23915.68658,999,1014,892,713,992,1067,830,2.2633087158203127,3,3,3,20.46899986,21.23399925,20.24399948,20.48900032,20.63199997,20.40299988,20.02899933,20.58300018,20.39100075,20.08099937,20.72299957,21.23500061,10.66666667,42263.60938,48593.27344,56664.1875,64962.39844,3363.231173,3866.929834,4509.192768,5169.543413
RW201000000010,RWGE61FL,RW,2010,10,RW2010DHS,97277.75781,111158.9219,125370.0469,275.7402162,309.6447202,353.8298378,399.0652536,5678.834688,0.00083214,0.001830915,0.004834149,-9999,3209.5,3297.166667,3358.25,3437.083333,3528.25,3770,3566.75,32.78319783,11.0,0.192211927,0.463357939,0.79549422,0.292066813,0.118379176,0.055239327,0.06181654,0.015241514,1593.934959,34367.49929,42888.19002,5759.871878,1054.7,1045.9,919.9,728.3,930.6,1079.3,847.7,3.6731125746316056,0,0,0,20.47100067,21.08766683,20.25400035,20.42233276,20.62666575,20.30466715,19.99266688,20.44033305,20.41366704,20.05633291,20.76433309,21.11666616,188.6910569,85075.22656,100199.1719,118793.8281,137336.0313,270.8028568,318.94387,378.132499,437.1541649
