DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
TZ201000000001,TZGE61FL,TZ,2010,1,TZ2010DHS,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
TZ201000000002,TZGE61FL,TZ,2010,2,TZ2010DHS,15932.98242,18617.8418,21808.01758,1103.225385,1267.906455,1481.560776,1735.426898,3236.214286,0.225328582,0.273381863,0.328463112,9,2150,2124,2249,2375,2172,2344,2128,64.85714286,6,0.143632932,0.577109596,0.67012168,0.250130504,0.16194132,0.121125869,0.108627759,2.389897581,1785.714286,335447.9666,84014.63988,168598.9106,641,560,574,577,341,533,628,0.9370791571480888,1,3,3,22.63699913,20.35899925,24.19400024,23.24699974,23.51600075,19.86000061,20.83399963,23.22100067,22.02499962,24.07699966,23.08200073,21.73999977,4.428571429,12640.99023,14181.78906,16093.25781,18207.87109,1005.93804,1128.550915,1280.660765,1448.936344
TZ201000000003,TZGE61FL,TZ,2010,3,TZ2010DHS,11958.15625,13973.21875,16367.53516,33.12007528,38.06399355,44.4781367,52.09948254,4341.179837,1.35E-05,4.11E-05,0.00020418,5,2304.7,2350.9,2364.2,2498,2534.9,2617.9,2592.8,20.68119891,7.0,0.157554493,0.481371976,0.566264959,0.235199976,0.123823253,0.106672343,0.066243982,0.001158798,1665.305177,220690.7548,21206.53966,54553.7368,759.4444444,803.6666667,623.1111111,708.2222222,478.4444444,735.3333333,616.7777778,2.6873910680453847,0,0,0,20.86524963,18.06999969,21.80349922,21.41424942,21.38949966,17.20524979,18.14324951,21.34275055,19.30675125,21.78700066,20.67749977,19.5292511,170.027248,20066.02344,22512.1543,25544.79688,28902.96289,63.87213637,71.65841273,81.31161387,92.00098828
TZ201000000004,TZGE61FL,TZ,2010,4,TZ2010DHS,7509.514648,8774.9375,10278.52734,20.79883113,23.90352753,27.93149357,32.71756868,3875.227397,1.51E-05,8.79E-05,0.000103135,9,2264.6,2291.6,2338.5,2341.7,2527.6,2308.2,2379.9,27.02747253,7.0,0.133612507,0.469524305,0.559974866,0.214183505,0.173524094,0.09835666,0.060562078,0.008670791,1681.312329,227123.4939,63889.81925,108880.0822,613.6666667,664.8333333,551.8333333,644.3333333,419.8333333,625.5833333,566.4166667,1.7553886518086472,1,1,0,21.13475037,18.46549988,22.01174927,21.7832489,21.75399971,17.50450134,18.44149971,21.70724869,19.47800064,22.23250008,21.15200043,19.97599983,387.8,14586.30078,16835.21289,19715.25977,23094.33984,46.42963741,53.58814699,62.75562093,73.51156686
TZ201000000005,TZGE61FL,TZ,2010,5,TZ2010DHS,6863.857422,8020.482422,9394.795898,19.01058235,21.84833675,25.52998847,29.90456413,3300.13587,0,0,2.29E-06,9,2371.1,2361.5,2390.1,2527.7,2519.8,2571.4,2584.5,21.15803815,6.0,0.121801301,0.526123124,0.638228085,0.291870253,0.172746522,0.135144498,0.095132206,0,1811.013587,340648.1352,113128.0961,107395.3899,648.2,572.6,553,574.6,367.3,555.6,534.6,0.5263446724933126,1,1,1,23.76000023,21.13150024,24.87800026,24.34874916,24.49174881,20.31475067,21.16875076,24.28700066,22.69300079,25.1202507,24.17374992,22.7697525,209.736413,5968.744141,6752.519531,7732.728516,8834.478516,18.99910268,21.49393723,24.61403934,28.12101851
TZ201000000006,TZGE61FL,TZ,2010,6,TZ2010DHS,11465.56445,13397.62012,15693.30859,31.75576304,36.49602515,42.64594936,49.95335271,4767.38814,1.90E-06,1.90E-06,1.80E-05,5,2385.9,2489.6,2536.2,2661,2857.3,2847.6,2871,28.57412399,7.0,0.149348488,0.460781517,0.546704987,0.238849983,0.119216107,0.096507147,0.068171583,0,1612.708895,234880.0659,34030.28014,26885.71894,706.7272727,779,606.2727273,684.0909091,449.4545455,729.8181818,652.7272727,1.8625930827261623,1,1,0,20.98449898,18.02325058,21.76049995,21.40999985,21.42199898,17.13875008,18.17250061,21.24399948,19.24625015,21.70499992,20.76099968,19.58749962,101.0134771,23487.36719,26350.29688,29901.34766,33830.60938,74.76261177,83.87560001,95.1789457,107.6861742
TZ201000000007,TZGE61FL,TZ,2010,7,TZ2010DHS,16551.87109,19341.01758,22655.10938,45.84312659,52.68624203,61.56437105,72.11345288,3787.512262,0.000840518,0.001062665,0.001155268,9,2596.6,2614.7,2627.3,2695.1,2715.1,2758.9,2666,33.32970027,8.0,0.129570051,0.473907079,0.564905003,0.246070606,0.133266509,0.061186143,0.07211067,0.037407844,1773.514986,253348.5752,36151.59188,231309.1634,643.4444444,665.3333333,682.7777778,754.1111111,404.4444444,646.6666667,611.7777778,3.308404823739782,0,0,0,22.67766571,20.21700033,23.97833252,23.45866648,23.6206665,19.56600189,20.41666667,23.3839976,21.36300151,24.05633291,22.8730011,21.56999969,64.17166213,31612.99414,35465.91406,40245.25,45534.31641,100.6272857,112.8915107,128.1046095,144.9402307
TZ201000000008,TZGE61FL,TZ,2010,8,TZ2010DHS,13504.95801,15780.6709,18484.69727,37.40419996,42.98761647,50.23143558,58.83861884,5850.666667,3.88E-06,5.95E-06,6.23E-06,9,2771,2813.2,2970.3,3071.6,3320.8,3163,3153.5,20.18428184,8.0,0.157196654,0.477478985,0.595569593,0.26386617,0.15117143,0.101352517,0.075237894,0,1537.802168,283607.6717,2111.80835,309108.8506,825.4444444,787.3333333,810.7777778,904.2222222,525.7777778,754.5555556,995,8.307116996951219,0,0,0,21.45974922,18.92200089,22.8342514,22.31974983,22.38299942,18.26200104,19.02000046,22.14625168,20.08699989,22.84049988,21.75675011,20.40200043,298.3523035,5677.484375,6371.996582,7233.035156,8186.137695,18.07199405,20.28269507,23.02346597,26.05728558
TZ201000000009,TZGE61FL,TZ,2010,9,TZ2010DHS,14956.59473,17476.92383,20471.60156,41.42474912,47.60831966,55.63077635,65.16313163,3190.065217,4.42E-06,1.50E-05,4.10E-05,9,2070.4,2235.8,2193.4,2343.9,2378.1,2310,2279.6,33.07065217,7.0,0.138825806,0.50594496,0.599180062,0.237525429,0.134697948,0.072040515,0.072921923,0.002186489,1873.005435,276629.6025,39337.96284,209507.8278,650.7777778,595.3333333,638.6666667,674.2222222,354.4444444,546.8888889,639.1111111,1.7125071649966033,1,0,0,23.39650154,20.78499985,24.67224884,23.94549942,24.22425079,19.99250031,20.82250023,23.97249985,21.85750008,24.76375008,23.48025131,22.17099953,70.1576087,11998.61914,13461.23047,15275.22461,17283.29492,38.19279093,42.84842739,48.62255007,55.01443639
TZ201000000010,TZGE61FL,TZ,2010,10,TZ2010DHS,8939.227539,10445.57227,12235.42578,24.75865896,28.45444501,33.2492892,38.94656987,4219.106667,0,2.14E-05,4.47E-05,9,2120.4,2187.5,2243.1,2378.2,2328.8,2349.9,2165,24.81283422,7.0,0.109171144,0.444162541,0.536101423,0.249122279,0.196665679,0.081821714,0.06783293,0,1739.829333,248963.4639,77558.8144,183859.0887,593.8,622.1,585,727.5,357.3,555.7,575.4,1.6291896158854167,1,1,0,21.17224884,18.65850067,22.30699921,21.98250008,22.02799988,17.85625076,18.84224892,21.83349991,19.5340004,22.35250092,21.17024994,20.01625061,183.6746667,15101.72266,17551.11914,20705.48633,24448.27344,48.07027621,55.86694736,65.90760997,77.82127136
