DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
UG201100000001,UGGE61FL,UG,2011,1,UG2011DHS,117329.0625,138696.6875,163310.9375,7910.129985,9336.750133,11037.1317,12995.87148,8116.333333,0.875638167,0.901324193,0.905810515,-9999,3131,3039,3004,3015,2813,2402,2369,89.8,14,0,0.191424812,0.39097545,0.221400306,0.199062258,0.121804446,0.095023088,22.10617592,1585.133333,146480.4083,185656.0491,8187.256914,1066,1188,1304,1252,1102,1253,1271,0.4155684471130371,3,3,3,21.88100052,20.80599976,21.77099991,22.32500076,22.24500084,20.53199959,21.08099937,22.31599998,21.54899979,21.85899925,21.89800072,21.35000038,1.666666667,80535.75,96856.09375,116050.7266,137735.0938,6408.831354,7707.563044,9235.023394,10960.61051
UG201100000002,UGGE61FL,UG,2011,2,UG2011DHS,120445.3125,142380.4688,167648.4844,8120.221974,9584.733428,11330.2777,13341.0425,8097.785714,0.52145497,0.827111403,0.903416634,-9999,3131,3039,3004,3015,2813,2402,2369,77.57142857,14,0,0.206044154,0.418148222,0.222147509,0.212933332,0.137506798,0.096653998,8.262695313,1592.071429,149034.1203,184006.0649,8912.684377,1093,1205,1238,1267,1082,1251,1244,0.3894487108503069,3,3,3,21.9489994,20.8939991,21.79700089,22.30599976,22.34700012,20.63199997,21.14699936,22.37599945,21.6079998,21.93899918,22.00900078,21.52799988,7.214285714,69497.75781,83565.03125,100105.9219,118787.9688,5530.455845,6649.893897,7966.176152,9452.846207
UG201100000004,UGGE61FL,UG,2011,4,UG2011DHS,202132.1719,238943.8906,281348.8438,13627.41322,16085.16716,19014.55066,22389.02961,8158.928571,0.958263571,0.979339513,0.993622953,-9999,2603,2851,2866,2723,2578,2332,2366,92.4,14,0,0.191424812,0.39097545,0.221400306,0.199062258,0.121804446,0.095023088,17.39734977,1580.857143,144178.9509,184280.5458,8303.919121,1066,1188,1304,1252,1102,1253,1271,0.300142696925572,3,3,3,21.88100052,20.80599976,21.77099991,22.32500076,22.24500084,20.53199959,21.08099937,22.31599998,21.54899979,21.85899925,21.89800072,21.35000038,3.071428571,82158.29688,98805.23438,118383.4063,140500.5938,6537.949532,7862.670727,9420.652146,11180.68201
UG201100000006,UGGE61FL,UG,2011,6,UG2011DHS,112349.4297,132810.1875,156379.7813,7574.410662,8940.483545,10568.69892,12444.3076,8108.285714,0.875638167,0.901324193,0.905810515,-9999,3131,3039,3004,3015,2813,2402,2369,89.57142857,14,0,0.191424812,0.39097545,0.221400306,0.199062258,0.121804446,0.095023088,22.30657856,1585.071429,146347.6167,185362.1253,8370.83252,1066,1188,1304,1252,1102,1253,1271,0.41123952184404644,3,3,3,21.88100052,20.80599976,21.77099991,22.32500076,22.24500084,20.53199959,21.08099937,22.31599998,21.54899979,21.85899925,21.89800072,21.35000038,1.571428571,75690.00781,91028.28906,109067.8438,129447.3125,6023.219443,7243.801083,8679.343237,10301.08983
UG201100000008,UGGE61FL,UG,2011,8,UG2011DHS,210708.7188,249082.3906,293286.5938,14205.63059,16767.66707,19821.34685,23339.00557,7912.857143,0.761745373,0.956610998,0.990204811,-9999,3916,3821,3856,3901,3925,3432,3486,80.57142857,14,0,0.211786806,0.426667667,0.224839106,0.203252047,0.122157589,0.09574835,4.859643046,1599.857143,151022.9412,181751.7831,11839.66979,1093,1205,1238,1267,1082,1251,1244,0.4820431981767927,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,6.214285714,94031.20313,113131.3203,135605.9531,161011.4063,7482.765392,9002.704422,10791.17887,12812.8806
UG201100000009,UGGE61FL,UG,2011,9,UG2011DHS,206850.2188,244521.2031,287915.9375,13945.49681,16460.6174,19458.37908,22911.62232,7906.214286,0.752426808,0.964589119,0.993208812,-9999,3916,3821,3856,3901,3925,3432,3486,80.35714286,14,0,0.211786806,0.426667667,0.224839106,0.203252047,0.122157589,0.09574835,5.908292609,1599.571429,150842.6096,181693.647,12162.7166,1093,1205,1238,1267,1082,1251,1244,0.482720034463065,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,6,91222.3125,109783.9219,131632.7813,156341.3438,7259.240977,8736.326921,10475.00391,12441.24884
UG201100000011,UGGE61FL,UG,2011,11,UG2011DHS,198031.5313,234096.4688,275641.1563,13350.95487,15758.84855,18628.80508,21934.82627,7887.428571,0.727679399,0.944889435,0.978162032,-9999,3131,3039,3004,3015,2813,2402,2369,79.42857143,14,0,0.211786806,0.426667667,0.224839106,0.203252047,0.122157589,0.09574835,5.887711097,1600.285714,150624.7881,181775.4554,12268.94135,1093,1205,1238,1267,1082,1251,1244,0.4892022950308664,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,6.142857143,81335.625,98002.84375,117650.5156,139908.2188,6472.483384,7798.81851,9362.330558,11133.5423
UG201100000013,UGGE61FL,UG,2011,13,UG2011DHS,103257.4766,122062.4297,143724.6406,6961.447158,8216.968906,9713.419526,11437.2435,7814.866667,0.55735751,0.821794192,0.952812036,-9999,3916,3821,3856,3901,3925,3432,3486,75.26666667,14.0,0,0.298702037,0.570168163,0.291004628,0.269647837,0.172111452,0.124950811,4.524755446,1606.866667,152778.9011,179549.5705,14213.80342,1093,1205,1238,1267,1082,1251,1244,0.38455308278401695,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,7.866666667,63830.98047,77221.71875,93082.48438,111151.0781,5079.508032,6145.109127,7407.268752,8845.121755
UG201100000014,UGGE61FL,UG,2011,14,UG2011DHS,121310.8672,143403.6563,168853.25,8178.577129,9653.612083,11411.70038,13436.9147,7845.3125,0.588113308,0.839583556,0.956839403,-9999,3916,3821,3856,3901,3925,3432,3486,77.8125,14,0,0.298702037,0.570168163,0.291004628,0.269647837,0.172111452,0.124950811,4.528238231,1605.5,152448.0428,180135.0089,13439.2302,1093,1205,1238,1267,1082,1251,1244,0.4085524380207062,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,7.625,85720.8125,103383.2266,124227.5234,147872.2031,6821.445518,8226.975773,9885.712209,11767.29603
UG201100000016,UGGE61FL,UG,2011,16,UG2011DHS,84761.46875,100198,117979.9531,5714.476883,6745.103368,7973.503494,9388.546361,7948.733333,0.510147718,0.824326442,0.94984348,-9999,3916,3821,3856,3901,3925,3432,3486,79,14,0,0.211786806,0.426667667,0.224839106,0.203252047,0.122157589,0.09574835,2.069724528,1600.933333,151367.3403,181296.0373,11794.59938,1093,1205,1238,1267,1082,1251,1244,0.42616586685180663,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,8.6,102645.7656,123436.8594,147886.8438,175505.9688,8168.290491,9822.793167,11768.4611,13966.32124
