"lat" "lon" "wealthscore" "nl" "n" "sample"
-17.116384 35.156573 -19096.064516129 0.0705563093622795 31 1
-17.086795 35.260351 -37880.1176470588 0 34 1
-17.067927 35.100017 -61920.2647058823 0 34 1
-17.021595 35.1881 -27254.3225806452 0 31 1
-17.01465 35.194647 -38566.6666666667 0 30 1
-17.010205 35.180508 -56317.696969697 0 33 1
-17.006288 35.1423 -45292.2727272727 0 33 1
-16.977431 35.236957 -42312.625 0.224747474747475 32 1
-16.939232 35.251827 -18883.4117647059 0.911931818181818 17 1
-16.934603 35.240475 77148.5263157895 1.00852272727273 19 1
-16.929712 35.223278 -39409.5588235294 1.14516129032258 34 1
-16.91916 35.242726 147055.888888889 1.0791788856305 18 1
-16.91516 35.255991 88603.4210526316 1.11515151515152 19 1
-16.872638 35.25622 -35508.0625 0.730639730639731 32 1
-16.823502 35.191417 -78460.8 0 35 1
-16.7962 35.278614 -30510.9705882353 0 34 1
-16.772823 35.26068 -6557.93939393939 0 33 1
-16.725834 35.20067 -40813.6857142857 0 35 1
-16.657373 34.862647 -51376.2424242424 0 33 1
-16.634347 35.168991 -46456 0.0707070707070707 34 1
-16.581652 35.104746 77142.303030303 1.38068181818182 33 1
-16.566304 34.915301 -31581.9696969697 0 33 1
-16.552319 35.098245 14392.7647058824 1.38068181818182 34 1
-16.534188 34.996389 -56685.9032258065 0 31 1
-16.524022 35.035445 24983.25 0.335227272727273 32 1
-16.516724 34.835624 -53568.3333333333 0.596590909090909 30 1
-16.514492 35.172339 -12098.1818181818 0.159090909090909 33 1
-16.495885 35.013358 -64824.0333333333 0 30 1
-16.487874 35.160419 -40382.1428571429 0 35 1
-16.48649 35.190727 -45363.3571428571 0 28 1
-16.456775 34.833348 -54819.2647058823 2.16363636363636 34 1
-16.431241 35.138212 -45490 0.272727272727273 29 1
-16.430022 35.193435 -51807.84375 0.3 32 1
-16.422075 34.836729 15835.2903225806 2.09090909090909 31 1
-16.385135 35.11969 -39063 0.272727272727273 34 1
-16.363671 34.689968 -58587.0606060606 0 33 1
-16.348857 35.270574 -56778.9393939394 0 33 1
-16.318043 35.113076 -27211.8235294118 0 34 1
-16.291151 34.832304 -8783.42307692308 3.74125874125874 26 1
-16.283618 35.05298 -16518.3125 0 32 1
-16.281309 35.209823 -25003.65625 0 32 1
-16.268233 35.212532 -26556.2647058824 0 34 1
-16.258169 34.88015 -36226.6129032258 8.02272727272727 31 1
-16.253214 34.643722 -42452 0 34 1
-16.246213 35.04159 -24391.7272727273 0 33 1
-16.245292 34.854504 10551.0909090909 7.95 33 1
-16.243695 34.877788 78981.5294117647 8.11363636363636 34 1
-16.237773 35.230049 17493.71875 0 32 1
-16.227816 35.172284 -44631.7741935484 0 31 1
-16.226423 35.097829 1895.18181818182 0.272727272727273 33 1
-16.180423 35.09153 -8619.77419354839 1.37062937062937 31 1
-16.176647 35.31898 -27815.275862069 0 29 1
-16.17607 34.975162 -15445.9428571429 0 35 1
-16.144656 34.792836 -36359.4375 0.0378787878787879 32 1
-16.122579 35.261903 28292.3125 0 32 1
-16.118987 34.64726 -50531.4705882353 0 34 1
-16.117735 35.613243 -34015.0857142857 0.863636363636364 35 1
-16.114286 35.528686 33017.3103448276 0.507575757575758 29 1
-16.111731 35.159471 -2549.31034482759 1.44545454545455 29 1
-16.109735 35.527632 -35979.2333333333 0.598484848484849 30 1
-16.105101 35.441706 -31732.7142857143 0 35 1
-16.103904 35.057323 2024.96875 1.14545454545455 32 1
-16.097282 34.82731 3412.8125 0.333333333333333 32 1
-16.088617 35.045732 -23696.0909090909 0.696969696969697 33 1
-16.085565 35.406395 -30361.34375 0 32 1
-16.082135 35.112921 40229.7272727273 3.66666666666667 33 1
-16.080486 34.955285 -34104.7941176471 0 34 1
-16.072713 35.737892 133441.419354839 5.6969696969697 31 1
-16.070749 35.665198 69673.3870967742 4.11818181818182 31 1
-16.067074 35.317581 -3284.37142857143 0.520661157024793 35 1
-16.0659 34.54605 -61444.8571428571 0 35 1
-16.062026 35.351747 -42824.71875 0.245454545454545 32 1
-16.055145 35.600005 -25168.4193548387 1.64462809917355 31 1
-16.051764 35.599073 -32592.4242424242 1.64462809917355 33 1
-16.048833 35.738973 31402.0689655172 4.49242424242424 29 1
-16.048675 34.806654 82511.9117647059 2.91735537190083 34 1
-16.044229 34.980508 -20139.0857142857 0.424242424242424 35 1
-16.039542 35.443417 -36941.7352941177 2.31404958677686 34 1
-16.034767 35.493971 296416.842105263 5.37190082644628 19 1
-16.022248 35.293089 120730.35 3.64462809917355 20 1
-16.018869 35.177532 41792.9 2.00826446280992 30 1
-16.016412 35.126059 40982.28125 1.77685950413223 32 1
-16.015506 35.30742 95885.95 4.04132231404959 20 1
-16.013626 35.305924 -13665.3636363636 4.04132231404959 33 1
-16.010777 35.50376 -11257.875 4.90151515151515 32 1
-16.010164 35.296923 152600.266666667 3.70454545454545 15 1
-16.010126 34.865917 5241.15625 0 32 1
-16.010008 35.234588 23999.5625 1.67768595041322 32 1
-16.008543 35.303629 206556.4 3.70454545454545 20 1
-16.005972 35.332766 -12529.8857142857 3.09090909090909 35 1
-16.005843 35.502827 190220.842105263 5.29752066115702 19 1
-15.992646 35.378723 -13711 1.25 35 1
-15.976629 35.174589 -26758.8125 0.0413223140495868 32 1
-15.976537 35.4831 29157.7333333333 3.52066115702479 30 1
-15.975258 34.89137 -22062.8928571429 0 28 1
-15.975115 34.42413 -51239.5 0 34 1
-15.973882 35.777124 -36056 0 32 1
-15.961935 34.990828 -31622.4285714286 0.445454545454545 35 1
-15.961505 35.271329 -18546.5142857143 1.5 35 1
