"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-10.060179 33.709099 0.797202797202797 1 485 "      485 35" 470410 -70627
-10.060179 33.709099 0.797202797202797 1 485 "      485  9" 470410 -20043
-10.060179 33.709099 0.797202797202797 1 485 "      485 32" 470410 -34436
-10.060179 33.709099 0.797202797202797 1 485 "      485  8" 470410 -47678
-10.060179 33.709099 0.797202797202797 1 485 "      485 25" 470410 756
-10.060179 33.709099 0.797202797202797 1 485 "      485  6" 470410 -6951
-10.060179 33.709099 0.797202797202797 1 485 "      485 21" 470410 -61540
-10.060179 33.709099 0.797202797202797 1 485 "      485 17" 470410 -46338
-10.060179 33.709099 0.797202797202797 1 485 "      485 28" 470410 -35488
-10.060179 33.709099 0.797202797202797 1 485 "      485 22" 470410 18336
-10.060179 33.709099 0.797202797202797 1 485 "      485 26" 470410 -39835
-10.062124 33.939962 0 1 51 "       51  8" 570259 -11890
-10.062124 33.939962 0 1 51 "       51 10" 570259 -20686
-10.062124 33.939962 0 1 51 "       51 32" 570259 11708
-10.062124 33.939962 0 1 51 "       51 31" 570259 83770
-10.062124 33.939962 0 1 51 "       51  9" 570259 -67205
-10.062124 33.939962 0 1 51 "       51 20" 570259 -9925
-10.062124 33.939962 0 1 51 "       51  6" 570259 67361
-10.062124 33.939962 0 1 51 "       51  5" 570259 -64131
-10.062124 33.939962 0 1 51 "       51 26" 570259 69399
-10.062124 33.939962 0 1 51 "       51 27" 570259 -36245
-10.062124 33.939962 0 1 51 "       51 28" 570259 -76515
-10.062124 33.939962 0 1 51 "       51 30" 570259 17345
-10.062124 33.939962 0 1 51 "       51  2" 570259 12773
-10.062124 33.939962 0 1 51 "       51 14" 570259 -68050
-10.062124 33.939962 0 1 51 "       51 19" 570259 160933
-10.062124 33.939962 0 1 51 "       51 22" 570259 90287
-10.062124 33.939962 0 1 51 "       51 34" 570259 -43663
-10.062124 33.939962 0 1 51 "       51 24" 570259 -98108
-10.062124 33.939962 0 1 51 "       51  1" 570259 -9246
-10.062124 33.939962 0 1 51 "       51 36" 570259 -35974
-10.062124 33.939962 0 1 51 "       51 25" 570259 5761
-10.062124 33.939962 0 1 51 "       51 33" 570259 -16729
-10.062124 33.939962 0 1 51 "       51 12" 570259 28951
-10.062124 33.939962 0 1 51 "       51 17" 570259 33969
-10.062124 33.939962 0 1 51 "       51 18" 570259 -45529
-10.062124 33.939962 0 1 51 "       51 23" 570259 91960
-10.062124 33.939962 0 1 51 "       51 37" 570259 -25227
-10.062124 33.939962 0 1 51 "       51 11" 570259 -4495
-10.062124 33.939962 0 1 51 "       51 15" 570259 25563
-10.100007 33.498448 0 1 165 "      165 30" 292084 174525
-10.100007 33.498448 0 1 165 "      165 26" 292084 -85765
-10.100007 33.498448 0 1 165 "      165 31" 292084 -63626
-10.100007 33.498448 0 1 165 "      165 29" 292084 -60223
-10.100007 33.498448 0 1 165 "      165 37" 292084 -83679
-10.100007 33.498448 0 1 165 "      165 14" 292084 -62592
-10.100007 33.498448 0 1 165 "      165 15" 292084 -76979
-10.100007 33.498448 0 1 165 "      165 16" 292084 -79788
-10.100007 33.498448 0 1 165 "      165 32" 292084 -70084
-10.100007 33.498448 0 1 165 "      165 23" 292084 -66597
-10.100007 33.498448 0 1 165 "      165  7" 292084 -30959
-10.100007 33.498448 0 1 165 "      165  3" 292084 -64520
-10.100007 33.498448 0 1 165 "      165 13" 292084 -73350
-10.100007 33.498448 0 1 165 "      165  9" 292084 -76137
-10.100007 33.498448 0 1 165 "      165 10" 292084 -89304
-10.100007 33.498448 0 1 165 "      165 11" 292084 4283
-10.100007 33.498448 0 1 165 "      165 24" 292084 -74637
-10.100007 33.498448 0 1 165 "      165 28" 292084 -30355
-10.100007 33.498448 0 1 165 "      165  6" 292084 -60914
-10.100007 33.498448 0 1 165 "      165  5" 292084 -77307
-10.100007 33.498448 0 1 165 "      165 21" 292084 -9963
-10.100007 33.498448 0 1 165 "      165 35" 292084 -22954
-10.100007 33.498448 0 1 165 "      165  8" 292084 -58813
-10.100007 33.498448 0 1 165 "      165 33" 292084 -75378
-10.100007 33.498448 0 1 165 "      165  2" 292084 -77123
-10.100007 33.498448 0 1 165 "      165 34" 292084 65975
-10.100007 33.498448 0 1 165 "      165 17" 292084 -76620
-10.100007 33.498448 0 1 165 "      165  4" 292084 -63053
-10.100007 33.498448 0 1 165 "      165 18" 292084 -75038
-10.100007 33.498448 0 1 165 "      165  1" 292084 -75347
-10.100007 33.498448 0 1 165 "      165 25" 292084 -67471
-10.100007 33.498448 0 1 165 "      165 36" 292084 -84014
-10.100007 33.498448 0 1 165 "      165 22" 292084 -37937
-10.100007 33.498448 0 1 165 "      165 19" 292084 -77096
-10.135672 33.585831 0 1 846 "      846  1" 269545 -6158
-10.135672 33.585831 0 1 846 "      846  2" 269545 -49676
-10.135672 33.585831 0 1 846 "      846  3" 269545 -43812
-10.135672 33.585831 0 1 846 "      846  5" 269545 -68675
-10.135672 33.585831 0 1 846 "      846  6" 269545 -50496
-10.135672 33.585831 0 1 846 "      846  8" 269545 -69267
-10.135672 33.585831 0 1 846 "      846  9" 269545 -82790
