"lat" "lon" "wealthscore" "nl" "n" "sample"
-2.800865 29.579655 -61362.3846153846 0 26 1
-2.792961 29.418105 -63080.3461538462 0 26 1
-2.789598 29.744879 -60476.4230769231 0 26 1
-2.766533 29.442456 -62948.04 0 25 1
-2.762775 29.682687 -58130.1153846154 0 26 1
-2.760754 29.849705 -53658.1538461538 0 26 1
-2.758512 29.662263 -51927 0 26 1
-2.752702 29.495145 -37495.0769230769 0 26 1
-2.733294 29.569965 -53405.84 0 25 1
-2.731362 29.780691 -35671.92 0 25 1
-2.711069 29.728344 -41793.12 0 25 1
-2.709533 29.472353 -52562.04 0 25 1
-2.709279 29.546921 -30779.1923076923 0 26 1
-2.695023 29.002655 -11905.9230769231 0.575 26 1
-2.69135 29.527073 -59998.7692307692 0 26 1
-2.684591 29.850538 -30764.9230769231 0 26 1
-2.682618 29.81228 -34067.4615384615 0 26 1
-2.681601 29.740053 -46508.3076923077 0.0454545454545455 26 1
-2.661043 29.795864 -58718.5769230769 0.196969696969697 26 1
-2.660932 29.833817 -20268.7692307692 0 26 1
-2.660312 29.488456 -55522.8076923077 0 26 1
-2.658062 28.910435 -9150.03846153846 0 26 1
-2.65403 29.490941 -52433.28 0 25 1
-2.64997 29.888781 -58009.04 0 25 1
-2.644809 29.625657 -36665.72 0 25 1
-2.635716 29.715013 27955.5769230769 2.85606060606061 26 1
-2.634768 29.710052 -24358.6923076923 2.85606060606061 26 1
-2.619375 29.520306 -10057.2 0 25 1
-2.607346 29.229031 -36640.5 0 26 1
-2.599329 29.842978 -56240.6153846154 0 26 1
-2.598745 29.716773 93385.0384615385 3.60839160839161 26 1
-2.596514 28.971476 -46527.76 0.4 25 1
-2.594646 29.52377 -503.76 0 25 1
-2.593723 29.013618 -23798.8 0.363636363636364 25 1
-2.589906 28.970809 -37818.7307692308 0.363636363636364 26 1
-2.587721 29.768941 -30180.4230769231 3.07692307692308 26 1
-2.585717 29.667567 -17979.7692307692 1.04895104895105 26 1
-2.578438 29.772664 -19015.16 2.32307692307692 25 1
-2.578385 29.860149 -23784.6538461538 0 26 1
-2.576043 29.741134 -48391.0769230769 3.06993006993007 26 1
-2.573236 28.933981 -51562.6923076923 0.265734265734266 26 1
-2.562947 29.057529 -47648.2307692308 0.0923076923076923 26 1
-2.552635 29.096091 -46142.7692307692 0 26 1
-2.550852 29.849937 9549.76923076923 0 26 1
-2.545912 29.608434 -44620.44 0 25 1
-2.543825 29.487188 -57545.6923076923 0 26 1
-2.543066 29.454717 -41614.3461538462 0 26 1
-2.54094 29.053524 -39708.3461538462 0 26 1
-2.539896 29.032055 -45917.88 0 25 1
-2.532818 29.684726 -38661.9615384615 0.328671328671329 26 1
-2.525109 28.921811 -29877.5769230769 3.69230769230769 26 1
-2.523954 29.789264 -48875.8076923077 0.167832167832168 26 1
-2.523384 29.022046 -5108.8 0 25 1
-2.51733 29.758085 -30054.3846153846 0.0839160839160839 26 1
-2.515693 29.646142 -30851.7307692308 0 26 1
-2.507886 29.090533 -28963.7692307692 0 26 1
-2.497832 29.743853 -38807.84 0 25 1
-2.489807 29.62554 -43960.1153846154 0.293706293706294 26 1
-2.485561 28.926768 641.192307692308 4.54545454545455 26 1
-2.4814 29.779928 -51801 0 26 1
-2.480914 28.913307 231302.269230769 7.61038961038961 26 1
-2.474959 29.838132 -37110.1923076923 0 26 1
-2.466248 29.780193 -52825.2692307692 0 26 1
-2.465316 29.467918 -55365.0769230769 0 26 1
-2.461804 29.641229 -51972.9615384615 0 26 1
-2.455755 29.429881 -58799.7083333333 0 24 1
-2.452764 29.573641 -56491.2307692308 0.558441558441558 26 1
-2.450605 29.957955 -40073.0384615385 0 26 1
-2.449083 29.398886 -52970.8461538462 0 26 1
-2.444893 29.584107 -50261.72 0.558441558441558 25 1
-2.438728 28.903892 -36553.3846153846 3.99350649350649 26 1
-2.434632 29.787211 -34023.3461538462 0 26 1
-2.433123 29.547916 -53921.8846153846 0.519480519480519 26 1
-2.428076 29.462497 -44958.2608695652 0 23 1
-2.425081 29.842916 -7710.80769230769 0 26 1
-2.416729 29.532057 -46145.7692307692 0.187878787878788 26 1
-2.414607 28.954867 -54992.2692307692 0.25974025974026 26 1
-2.404493 28.941822 -39880.6 0.12 25 1
-2.400068 28.995509 -26477.64 0 25 1
-2.39019 28.981013 -35111.56 0 25 1
-2.389778 29.451722 -49028.4615384615 0 26 1
-2.38806 29.258739 -35533.3043478261 0 23 1
-2.387753 29.141641 -17760.2307692308 0 26 1
-2.387603 29.067239 -98.32 0 25 1
-2.384913 30.130896 16499.5384615385 0 26 1
-2.376306 30.592224 -10052.88 0 25 1
-2.372858 29.704832 -37049.6923076923 0.872727272727273 26 1
-2.371748 29.585916 -38689.8846153846 0 26 1
-2.366763 30.521692 -39000.56 0 25 1
-2.365815 29.939349 -35784.64 0 25 1
-2.360084 29.751587 107631.72 0.945454545454545 25 1
-2.357578 29.034794 -32714.1153846154 0 26 1
-2.357266 29.802312 -32222.3461538462 0.672727272727273 26 1
-2.356264 29.396761 -48227.0769230769 0 26 1
-2.353186 29.828331 -42616.7307692308 0.0340909090909091 26 1
-2.350536 29.777254 45337.92 0.945454545454545 25 1
-2.350317 29.680842 -88489.4583333333 0.521212121212121 24 1
-2.345122 29.637055 -38967.2692307692 0 26 1
-2.343529 30.699 -24553.28 0 25 1
-2.338016 29.123901 40979.4 0 25 1
-2.336048 30.288211 -14136.76 0 25 1
-2.330726 29.916747 -32118.3333333333 0 24 1
-2.330626 29.456503 -55054.4615384615 0 26 1
-2.327561 29.047354 -39787.08 0 25 1
-2.32428 29.24687 -21385.16 0 25 1
-2.323776 29.185491 -43673.6923076923 0 26 1
-2.32237 30.509814 -36881.1538461538 0 26 1
-2.316523 30.576136 -32700.96 0 25 1
-2.312788 30.080022 -36427.4230769231 0 26 1
-2.305046 30.628462 -27752.6538461538 0 26 1
-2.298738 29.74197 -77706.5769230769 0.352941176470588 26 1
-2.296489 30.015236 287.846153846154 0 26 1
-2.291395 29.163522 -54345.9615384615 0 26 1
-2.287563 30.117009 -22207.3846153846 0 26 1
-2.281564 29.67166 -36044.9166666667 0 24 1
-2.280823 29.698357 -32456.6923076923 0.0962566844919786 26 1
-2.279316 29.478823 -55539.64 0 25 1
-2.278544 29.619121 -28990.96 0 25 1
-2.27699 29.801138 -32757.3076923077 0.197860962566845 26 1
-2.276934 30.036967 -26615 0 25 1
-2.275269 30.632707 -2961.38461538462 0 26 1
-2.267461 29.815544 -11880.1538461538 0.294117647058824 26 1
-2.262296 29.877543 -33876.2 0 25 1
-2.260028 30.199794 -20299.5769230769 0 26 1
-2.256404 29.686877 -28865.3461538462 0 26 1
-2.253763 29.818389 -48735.5769230769 0.323529411764706 26 1
-2.250716 30.811263 -23366.44 0 25 1
-2.24475 30.369448 -41720.9090909091 0 22 1
-2.243706 30.545879 -33194.76 0 25 1
-2.242963 30.112396 -39536.1538461538 0 26 1
-2.238794 29.370061 -38202.7692307692 0 26 1
-2.237258 29.1907 -41951.0833333333 0 24 1
-2.235567 30.535659 -13666.7307692308 0 26 1
-2.230972 30.83127 -25191.9615384615 0 26 1
-2.22724 29.413435 -61342.9615384615 0 26 1
-2.226654 30.421977 -27142.9615384615 0 26 1
-2.224453 30.731484 -15426.4615384615 0 26 1
-2.223684 29.553908 -36157.3076923077 0 26 1
-2.217614 29.610967 -28626.96 0 25 1
-2.214713 30.727983 -26475.0769230769 0 26 1
-2.213988 30.59361 -30973.0384615385 0.101010101010101 26 1
-2.212707 29.921206 -33219.2 0 25 1
-2.21051 29.83616 -22843.6153846154 0.247474747474747 26 1
-2.208816 29.628509 -28782.08 0 25 1
