"lat" "lon" "wealthscore" "nl" "n" "sample"
-11.42059 36.889962 -75000 0 21 1
-11.18106 37.638248 -68380.9523809524 0 21 1
-11.117653 34.888462 -29272.7272727273 0 22 1
-11.079449 34.857825 -14000 0 22 1
-11.033747 34.929679 -14761.9047619048 0.187943262411348 21 1
-11.033181 39.251523 -45095.2380952381 0 21 1
-11.016597 35.184466 -25142.8571428571 0.147793726741095 21 1
-10.945995 39.484829 -30550 0.0580645161290323 20 1
-10.933163 39.272242 33700 0.0662112454019968 20 1
-10.8965 37.047182 -32272.7272727273 0 22 1
-10.888958 38.048191 -52150 0 20 1
-10.870693 38.926506 -56900 0 20 1
-10.870632 39.433563 -11863.6363636364 0 22 1
-10.859443 37.761793 -67409.0909090909 0 22 1
-10.833914 39.281009 -68818.1818181818 0 22 1
-10.809596 39.282562 -51500 0 22 1
-10.799759 35.573679 2368.42105263158 0 19 1
-10.707 35.102024 -27714.2857142857 0 21 1
-10.689285 39.73389 -55238.0952380952 0 21 1
-10.683042 38.784914 -66294.1176470588 0.618181818181818 17 1
-10.680496 35.664059 104300 2.25974025974026 20 1
-10.671364 35.640375 102722.222222222 2.73235294117647 18 1
-10.66507 39.503665 -54578.9473684211 0 19 1
-10.655267 38.639052 -72842.1052631579 0 19 1
-10.646635 35.578881 -33727.2727272727 2.7125 22 1
-10.622475 35.454776 86714.2857142857 0.115151515151515 21 1
-10.618297 39.980089 -65750 0 20 1
-10.597394 34.782487 -27857.1428571429 0 21 1
-10.55145 40.142825 -87272.7272727273 0 22 1
-10.525955 35.245106 -46227.2727272727 0 22 1
-10.503343 35.970989 -38300 0 20 1
-10.499045 40.387968 -85578.9473684211 0 19 1
-10.47609 39.030095 -43300 0 20 1
-10.341324 38.994349 -65500 0 20 1
-10.265185 40.1702 204875 7.75568181818182 16 1
-10.219921 38.72233 -66142.8571428571 0 21 1
-10.219821 39.829175 -65523.8095238095 0 21 1
-10.213654 39.481595 -57952.380952381 0 21 1
-10.148114 35.883337 -40636.3636363636 0 22 1
-10.120896 38.917692 -85095.2380952381 0 21 1
-10.104813 38.575412 -79157.8947368421 0 19 1
-10.100091 39.633913 -54125 0 16 1
-10.069567 34.557299 -28105.2631578947 0 19 1
-10.01876 39.68399 121312.5 2.62237762237762 16 1
-10.018425 39.600947 -60090.9090909091 0 22 1
-9.89323 38.900304 -76333.3333333333 0 18 1
-9.835239 39.44847 -67238.0952380952 0 21 1
-9.562958 33.78008 72142.8571428571 0.854545454545454 21 1
-9.557018 37.983898 -69095.2380952381 0 21 1
-9.449394 34.837373 -11636.3636363636 0 22 1
-9.418488 34.140593 -46523.8095238095 0 21 1
-9.389232 34.578591 8200 0 20 1
-9.379163 33.077631 -30545.4545454545 0 22 1
-9.373264 39.555683 -76190.4761904762 0 21 1
-9.364201 33.667047 -48550 0 20 1
-9.257356 34.088917 109315.789473684 0 19 1
-9.18823 35.123019 -32578.9473684211 0 19 1
-9.184849 33.311177 -45818.1818181818 0 22 1
-9.176573 33.614176 33045.4545454545 0.0826446280991736 22 1
-9.129886 33.840689 -66523.8095238095 0 21 1
-9.110686 32.925148 125681.818181818 2.03305785123967 22 1
-9.023151 33.262896 -36300 0 20 1
-9.022888 33.113603 -16545.4545454545 0 22 1
-9.019794 36.72387 -87954.5454545455 0 22 1
-8.975599 34.806329 -25681.8181818182 0 22 1
-8.922297 33.049558 -35863.6363636364 0 22 1
-8.920769 34.717638 -35100 0 20 1
-8.907906 33.460799 146333.333333333 14.6742424242424 18 1
-8.880998 33.562338 45523.8095238095 2.65151515151515 21 1
-8.832187 34.815665 29944.4444444444 3.04195804195804 18 1
-8.814639 35.006821 -51000 0 21 1
-8.813431 31.709931 -81476.1904761905 0 21 1
-8.706168 38.829409 -71636.3636363636 0 22 1
-8.677903 36.723135 92777.7777777778 0.466666666666667 18 1
-8.670172 31.503488 -56318.1818181818 0 22 1
-8.623724 33.872249 -49181.8181818182 0 22 1
-8.571521 31.26109 -59181.8181818182 0 22 1
-8.520531 35.942828 5400 0 20 1
-8.4788 35.878651 -55300 0 20 1
-8.46343 33.000357 -53750 0.421052631578947 20 1
-8.420491 31.863266 -41761.9047619048 0 21 1
-8.414637 33.159525 33900 0.295454545454545 20 1
-8.404878 35.212525 153809.523809524 0 21 1
-8.394805 39.23547 -29888.8888888889 0.103896103896104 18 1
-8.176008 31.757999 -64090.9090909091 0 22 1
-8.124843 36.714039 -30476.1904761905 0.975 21 1
-8.08154 35.452685 31350 0 20 1
-8.062639 31.58697 -45619.0476190476 0 21 1
-8.043872 33.265223 -44842.1052631579 0 19 1
-8.036993 31.362137 -73181.8181818182 0.01 22 1
-8.010305 31.928806 -82800 0.0155844155844156 20 1
-7.94577 31.611365 54000 0.486440677966102 20 1
-7.889673 39.080062 -80625 0.135460565924142 16 1
-7.889398 36.13864 -40904.7619047619 0.0134569377990431 21 1
-7.878754 38.676297 -52450 0.0866666666666667 20 1
-7.871795 39.702446 -71222.2222222222 0.0684371807967314 18 1
-7.774636 35.693071 137318.181818182 1.05614973262032 22 1
-7.713918 38.935519 -39052.6315789474 0.0755608028335301 19 1
-7.690198 36.964049 30611.1111111111 0.702479338842975 18 1
-7.685176 39.057607 -66450 0.0838068181818182 20 1
-7.676472 36.977353 95250 0.891207153502235 20 1
-7.64401 35.543336 -34227.2727272727 0 22 1
-7.617431 36.015553 -30476.1904761905 0 21 1
-7.607259 36.950423 -53590.9090909091 0.416161616161616 22 1
-7.55861 35.890294 -8789.47368421053 0 19 1
-7.514973 31.032601 44428.5714285714 0 21 1
-7.477027 37.578073 -38000 0 21 1
-7.453633 31.318364 -57523.8095238095 0 21 1
-7.423815 39.307421 -78111.1111111111 0 18 1
-7.37705 39.087725 -20611.1111111111 0 18 1
-7.22945 36.429971 -63909.0909090909 0 22 1
-7.218472 31.402935 -64052.6315789474 0 19 1
-7.148086 30.548606 -15400 0 20 1
-7.088791 39.302467 -61904.7619047619 0.113636363636364 21 1
-6.998384 38.988523 -48894.7368421053 0 19 1
-6.990808 38.709172 -35100 0 20 1
-6.977133 37.600822 -52315.7894736842 0.0909090909090909 19 1
-6.971707 39.30747 89882.3529411765 6.95 17 1
-6.9076 39.264112 139533.333333333 31.1818181818182 15 1
-6.90166 39.249536 131600 37.9440559440559 15 1
-6.896416 37.6603 -66100 1.96153846153846 20 1
-6.884394 39.2805 137933.333333333 36.8881118881119 15 1
-6.884217 39.208924 196125 44.8741258741259 16 1
-6.871775 37.874915 -47333.3333333333 0 21 1
-6.870441 39.170232 175750 35.8769230769231 16 1
-6.870088 39.245398 97333.3333333333 52.1153846153846 15 1
-6.869419 39.270149 144000 47.6993006993007 15 1
-6.864269 39.459375 35133.3333333333 0.552447552447552 15 1
-6.854199 39.227777 164466.666666667 57.6076923076923 15 1
-6.842529 39.285895 261466.666666667 46.2797202797203 15 1
-6.83198 39.227589 106000 60.6293706293706 14 1
-6.82982 39.197184 204562.5 54.7583333333333 16 1
-6.821887 39.250711 138666.666666667 59.8391608391608 15 1
-6.81986 39.212722 173312.5 59.5606060606061 16 1
-6.815174 37.000673 71904.7619047619 1.6013986013986 21 1
-6.807722 37.646479 44636.3636363636 19.3257575757576 22 1
-6.805706 39.199791 188125 55.1468531468531 16 1
-6.797625 37.7126 121800 9.58333333333333 20 1
-6.795617 39.216719 152500 58.4846153846154 16 1
-6.794283 39.248773 108937.5 58.2167832167832 16 1
-6.788833 39.261054 214733.333333333 55.0227272727273 15 1
-6.787961 39.255519 134312.5 57.725 16 1
-6.783697 39.254622 136437.5 56.7727272727273 16 1
-6.777185 39.244857 190333.333333333 57.3484848484849 15 1
-6.762833 39.267088 118533.333333333 44.5923076923077 15 1
-6.730217 38.761417 7727.27272727273 3.89393939393939 22 1
-6.720341 39.125756 33200 12.4083333333333 15 1
-6.715156 38.745444 106700 4.3030303030303 20 1
-6.70087 39.216409 319562.5 35.3719008264463 16 1
-6.679315 37.12521 -5800 0 20 1
-6.645913 39.195015 153785.714285714 23.85 14 1
-6.63547 38.35668 91473.6842105263 1.97520661157025 19 1
-6.547706 38.82262 -40727.2727272727 0.644628099173554 22 1
-6.499964 35.665523 -75315.7894736842 0 19 1
-6.464062 39.514566 30045.4545454545 0.181818181818182 22 1
-6.458286 39.478049 125190.476190476 0.56198347107438 21 1
-6.451934 31.095801 -68285.7142857143 0 21 1
-6.416207 39.547177 50045.4545454545 0.471074380165289 22 1
-6.398879 38.347691 -35450 0.677685950413223 20 1
-6.398399 39.557182 67714.2857142857 0.471074380165289 21 1
-6.366959 36.505336 -6272.72727272727 1.72727272727273 22 1
-6.347555 39.396731 11318.1818181818 0 22 1
-6.343638 31.316076 -42357.1428571429 0 14 1
-6.337823 31.085982 173300 3.50909090909091 20 1
-6.30938 36.987136 -64523.8095238095 0 21 1
-6.308046 39.28536 95318.1818181818 0 22 1
-6.299098 35.599661 -68727.2727272727 0 22 1
-6.29609 35.913406 -58190.4761904762 0 21 1
-6.291603 39.518159 89619.0476190476 2.85123966942149 21 1
-6.281957 36.284044 -72727.2727272727 0 22 1
-6.269552 35.337005 -81047.6190476191 0 21 1
-6.261413 36.645635 -64857.1428571429 0 21 1
-6.245171 39.516748 104190.476190476 3.38181818181818 21 1
-6.218325 39.365187 -53857.1428571429 0.0495867768595041 21 1
-6.195539 39.226067 124409.090909091 21.6090909090909 22 1
-6.19273 39.226573 238142.857142857 21.9586776859504 21 1
-6.1898 39.282776 -23809.5238095238 5.17355371900826 21 1
-6.18199 39.209758 174681.818181818 23.9834710743802 22 1
-6.176764 39.361077 6363.63636363636 0.31404958677686 22 1
-6.175715 39.217921 180285.714285714 24.1818181818182 21 1
-6.170458 39.199935 179952.380952381 24.9181818181818 21 1
-6.170341 39.234956 154909.090909091 22.0090909090909 22 1
-6.16852 39.428721 54272.7272727273 1.55454545454545 22 1
-6.165473 39.196478 221000 23.7603305785124 22 1
-6.162391 39.200569 163238.095238095 24.4272727272727 21 1
-6.160341 39.234551 163428.571428571 20.4545454545455 21 1
-6.153974 39.213183 199000 23.4636363636364 22 1
-6.147671 39.213893 248272.727272727 22.2314049586777 22 1
-6.140303 37.616481 -24142.8571428571 2.91735537190083 21 1
-6.138477 35.743701 90761.9047619048 18.9669421487603 21 1
-6.13316 39.259956 198714.285714286 9.76859504132231 21 1
-6.130601 39.270824 90450 6.03636363636364 20 1
-6.128316 31.077411 -58117.6470588235 0 17 1
-6.123196 38.406495 -40294.1176470588 0 17 1
-6.116777 39.30943 30227.2727272727 1.51239669421488 22 1
-6.111914 39.35583 29238.0952380952 0.354545454545455 21 1
-6.110478 39.277294 101684.210526316 4.06611570247934 19 1
-6.107722 39.218011 130590.909090909 12.3388429752066 22 1
-6.098553 39.217674 174954.545454545 10.2561983471074 22 1
-6.092504 39.311662 37650 1.00826446280992 20 1
-6.089992 36.958211 -48047.619047619 0 21 1
-6.053773 39.311571 13409.0909090909 0.0454545454545455 22 1
-6.050615 39.302573 -52714.2857142857 0.12396694214876 21 1
-6.032436 39.373411 -26450 1.22314049586777 20 1
-6.02613 34.835489 -78142.8571428571 0 21 1
-6.012883 39.220247 -6666.66666666667 2.8 21 1
-6.009146 37.913562 -76789.4736842105 0 19 1
-6.001724 39.246531 17681.8181818182 1.92424242424242 22 1
-5.99499 39.183387 -17681.8181818182 1.17272727272727 22 1
-5.985061 39.242211 9772.72727272727 1.51239669421488 22 1
-5.959795 39.183787 -51727.2727272727 0.0413223140495868 22 1
-5.957836 39.318597 -26272.7272727273 4.17355371900826 22 1
-5.945681 39.287349 -51227.2727272727 1.15 22 1
-5.942578 35.901248 -72727.2727272727 0 22 1
-5.937708 39.328844 -15045.4545454545 5.775 22 1
-5.928924 39.254502 13636.3636363636 0.125 22 1
-5.901203 39.266334 19600 0.826446280991736 20 1
-5.897446 34.116169 -43523.8095238095 0 21 1
-5.895991 39.270848 -9954.54545454545 0.833333333333333 22 1
-5.875217 39.304958 23090.9090909091 2.40151515151515 22 1
-5.874357 39.329513 -37045.4545454545 2.5530303030303 22 1
-5.856621 39.285588 -13285.7142857143 1.23484848484848 21 1
-5.803447 35.491325 -87250 0 20 1
-5.802726 39.312344 2000 0.886363636363636 22 1
-5.790762 36.081429 -81550 0 20 1
-5.762026 36.540214 -59863.6363636364 0 22 1
-5.758865 38.308472 34600 0 20 1
-5.745718 39.300254 35809.5238095238 5.53846153846154 21 1
-5.736237 39.304115 13523.8095238095 5.46969696969697 21 1
-5.714422 34.970287 -30200 0 20 1
-5.705734 36.495832 -59150 0 20 1
-5.704279 34.488967 90166.6666666667 1.33846153846154 18 1
-5.659221 35.38971 -89950 0 20 1
-5.622726 32.759946 88666.6666666667 1.91558441558442 18 1
-5.531831 30.425662 -60045.4545454545 0 22 1
-5.482532 32.633587 -60500 0 22 1
-5.452651 39.650646 -56000 0 20 1
-5.440775 38.285056 -31578.9473684211 0 19 1
-5.426616 39.710658 -65000 0 21 1
-5.423062 38.038195 154684.210526316 1.42613636363636 19 1
-5.405778 39.717822 25750 0.0588235294117647 20 1
-5.396949 39.686266 -34250 0.27807486631016 20 1
-5.381814 39.684564 85350 0.401069518716578 20 1
-5.376077 39.77657 -26842.1052631579 0 19 1
-5.370339 39.759774 -13333.3333333333 0 21 1
-5.362064 39.647593 136944.444444444 0.416666666666667 18 1
-5.359937 39.651641 10761.9047619048 0.378787878787879 21 1
-5.354411 32.716071 -67136.3636363636 0 22 1
-5.351019 37.922788 -63789.4736842105 0 19 1
-5.346547 38.541275 -4000 0.126315789473684 19 1
-5.334076 34.780957 -23095.2380952381 0 21 1
-5.296945 38.600708 87550 0.779904306220096 20 1
-5.296885 39.81428 -909.090909090909 0.309090909090909 22 1
-5.278415 39.745284 -363.636363636364 0.935 22 1
-5.274202 38.859464 -61571.4285714286 0 21 1
-5.269916 39.770222 49380.9523809524 1.315 21 1
-5.269114 39.776507 37285.7142857143 1.45887445887446 21 1
-5.26645 36.611116 -75250 0.386363636363636 20 1
-5.243229 39.781306 81142.8571428571 2.1038961038961 21 1
-5.236161 39.819188 65523.8095238095 2.13223140495868 21 1
-5.23068 39.764164 72772.7272727273 2.13223140495868 22 1
-5.227565 39.79516 140350 2.17355371900826 20 1
-5.210041 39.71051 -43200 1.75098814229249 20 1
-5.206657 39.810315 -16318.1818181818 1.88932806324111 22 1
-5.161425 39.768015 -1571.42857142857 0.363636363636364 21 1
-5.157174 39.006938 39714.2857142857 2.10909090909091 21 1
-5.132531 39.767385 34700 0.0505050505050505 20 1
-5.10829 36.301132 -39150 0 20 1
-5.102954 39.69441 -46368.4210526316 0.337662337662338 19 1
-5.099358 30.286391 -78529.4117647059 0.392857142857143 17 1
-5.092487 39.814483 -59318.1818181818 0.454545454545455 22 1
-5.087096 39.109671 196095.238095238 9.6448275862069 21 1
-5.086793 31.811425 -59571.4285714286 0 21 1
-5.08215 39.851089 -59380.9523809524 0.127272727272727 21 1
-5.081542 39.089722 147454.545454545 9.60606060606061 22 1
-5.069666 30.224048 -54350 0 20 1
-5.05774 33.498807 -82045.4545454545 0 22 1
-5.041414 39.766337 -34666.6666666667 0.550964187327824 21 1
-5.035908 38.362195 -42238.0952380952 0 21 1
-5.024767 39.800752 -67111.1111111111 0.52987012987013 18 1
-5.024148 39.802515 -40285.7142857143 0.52987012987013 21 1
-5.021676 34.565503 -85863.6363636364 0 22 1
-5.019403 30.058598 -60150 0 20 1
-5.007818 38.522508 -53571.4285714286 0 21 1
-5.005401 32.821768 192619.047619048 3.41866028708134 21 1
-4.990709 39.685765 -38590.9090909091 0.263403263403263 22 1
-4.984568 32.373007 -17954.5454545455 0 22 1
-4.97381 39.838539 -48857.1428571429 0.251082251082251 21 1
-4.968713 39.788696 -24380.9523809524 0.251082251082251 21 1
-4.953793 39.124057 -43761.9047619048 0 21 1
-4.952398 39.851447 -47454.5454545455 0.234343434343434 22 1
-4.949196 39.859044 -53619.0476190476 0.229249011857708 21 1
-4.94911 39.728522 121047.619047619 0.229249011857708 21 1
-4.925101 34.608178 -58333.3333333333 0 21 1
-4.923046 39.748532 -64000 0.0980392156862745 21 1
-4.902736 38.461169 -61761.9047619048 0.175438596491228 21 1
-4.887242 29.628349 221588.235294118 1.70483870967742 17 1
-4.876602 33.256163 -73476.1904761905 0 21 1
-4.848704 29.632475 6894.73684210526 1.04948216340621 19 1
-4.837698 35.119184 -69227.2727272727 0.415116279069767 22 1
-4.835939 34.754612 101500 1.3047520661157 20 1
-4.832869 32.055386 -76761.9047619048 0 21 1
-4.830592 34.504432 -58227.2727272727 1.24802371541502 22 1
-4.808754 38.765354 -48714.2857142857 0.0616883116883117 21 1
-4.751195 38.470385 -74800 0.0369522563767168 20 1
-4.715211 36.007287 -36090.9090909091 0.000322144191740223 22 1
-4.699378 38.403496 -61954.5454545455 0 22 1
-4.674602 35.077296 -67363.6363636364 0 22 1
-4.667289 29.732093 -41142.8571428571 0 21 1
-4.649343 30.165902 -48500 0.00372142477405635 20 1
-4.614416 33.155114 -77714.2857142857 0 21 1
-4.576767 34.800309 -73952.3809523809 0 21 1
-4.572685 30.084796 78722.2222222222 0.214876033057851 18 1
-4.569075 34.370512 -73681.8181818182 0 22 1
