"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-1.110137 31.752092 0 1 320 "320 67" 1197181 -74000
-1.110137 31.752092 0 1 320 "320 11" 1197181 -90000
-1.110137 31.752092 0 1 320 "320 89" 1197181 -49000
-1.110137 31.752092 0 1 320 "320 27" 1197181 21000
-1.110137 31.752092 0 1 320 "320  5" 1197181 -31000
-1.110137 31.752092 0 1 320 "320 83" 1197181 -61000
-1.110137 31.752092 0 1 320 "320 61" 1197181 153000
-1.110137 31.752092 0 1 320 "320 44" 1197181 -22000
-1.110137 31.752092 0 1 320 "320 72" 1197181 -63000
-1.110137 31.752092 0 1 320 "320 78" 1197181 -62000
-1.110137 31.752092 0 1 320 "320 50" 1197181 -42000
-1.110137 31.752092 0 1 320 "320 39" 1197181 -9000
-1.110137 31.752092 0 1 320 "320 16" 1197181 26000
-1.110137 31.752092 0 1 320 "320 22" 1197181 14000
-1.110137 31.752092 0 1 320 "320 94" 1197181 9000
-1.110137 31.752092 0 1 320 "320106" 1197181 170000
-1.110137 31.752092 0 1 320 "320117" 1197181 -26000
-1.110137 31.752092 0 1 320 "320100" 1197181 -18000
-1.110137 31.752092 0 1 320 "320 33" 1197181 38000
-1.110137 31.752092 0 1 320 "320122" 1197181 -44000
-1.110137 31.752092 0 1 320 "320111" 1197181 -53000
-1.155685 34.187051 0 1 358 "358 31" 1113502 -62000
-1.155685 34.187051 0 1 358 "358 48" 1113502 34000
-1.155685 34.187051 0 1 358 "358 82" 1113502 -29000
-1.155685 34.187051 0 1 358 "358 88" 1113502 -11000
-1.155685 34.187051 0 1 358 "358 93" 1113502 -39000
-1.155685 34.187051 0 1 358 "358 99" 1113502 -69000
-1.155685 34.187051 0 1 358 "358121" 1113502 84000
-1.155685 34.187051 0 1 358 "358 26" 1113502 -43000
-1.155685 34.187051 0 1 358 "358 37" 1113502 -66000
-1.155685 34.187051 0 1 358 "358 42" 1113502 -89000
-1.155685 34.187051 0 1 358 "358 76" 1113502 -21000
-1.155685 34.187051 0 1 358 "358 54" 1113502 27000
-1.155685 34.187051 0 1 358 "358 65" 1113502 21000
-1.155685 34.187051 0 1 358 "358 71" 1113502 23000
-1.155685 34.187051 0 1 358 "358116" 1113502 -37000
-1.155685 34.187051 0 1 358 "358 20" 1113502 -76000
-1.155685 34.187051 0 1 358 "358104" 1113502 -43000
-1.155685 34.187051 0 1 358 "358110" 1113502 -23000
-1.155685 34.187051 0 1 358 "358  3" 1113502 -91000
-1.155685 34.187051 0 1 358 "358 14" 1113502 -43000
-1.171678 31.366959 0.414814814814815 1 319 "319198" 1452749 -56000
-1.171678 31.366959 0.414814814814815 1 319 "319 65" 1452749 -67000
-1.171678 31.366959 0.414814814814815 1 319 "319 86" 1452749 -57000
-1.171678 31.366959 0.414814814814815 1 319 "319188" 1452749 -64000
-1.171678 31.366959 0.414814814814815 1 319 "319 35" 1452749 -52000
-1.171678 31.366959 0.414814814814815 1 319 "319209" 1452749 -72000
