"lat" "lon" "wealthscore" "nl" "n" "sample"
-1.285389 29.782113 -66640.0526315789 0.435406698564593 19 1
-1.282571 29.645205 -3078.48 0.45933014354067 25 1
-1.279915 29.6166 -34223.52 0.691891891891892 25 1
-1.279644 30.143088 -31886.1818181818 0.513513513513513 22 1
-1.247377 29.979579 124363.45 0.989304812834225 20 1
-1.133516 30.04911 -37548.3043478261 0 23 1
-1.1306 29.967404 -50107.5 0 24 1
-1.109841 29.820608 -32947.1304347826 0 23 1
-1.010459 30.665653 -1758.33333333333 0 24 1
-1.00016 29.861374 -37555.3636363636 0 22 1
-0.970732 30.385931 -54521.88 0 25 1
-0.967814 29.988417 -41958.84 0 25 1
-0.952224 30.107658 -18772.6 0 25 1
-0.927108 30.681867 -38411.125 0 24 1
-0.907899 30.63917 -15323.4166666667 0 24 1
-0.899952 30.163067 -16348.5833333333 0 24 1
-0.893869 30.834241 -15071.8 0 25 1
-0.857743 30.479523 -39620.25 0 24 1
-0.847507 31.45713 -89.7083333333333 0 24 1
-0.823093 30.64669 -27589.48 0 25 1
-0.816082 31.436868 -39030.1739130435 0 23 1
-0.796772 29.931162 125651.913043478 0.806060606060606 23 1
-0.726025 29.692924 -56531.08 0 25 1
-0.710697 29.751515 -32779.9130434783 0 23 1
-0.706686 30.1431 49554.652173913 0 23 1
-0.688925 29.938125 -20966.5454545455 0 22 1
-0.672724 31.280246 -35536 0 22 1
-0.625313 30.011972 -8800.08 0 25 1
-0.624095 30.367601 13308.3333333333 0.202797202797203 24 1
-0.616717 32.338252 -11167.7391304348 0 23 1
-0.604503 30.668652 138826.136363636 8.98461538461538 22 1
-0.599312 30.642833 98778.0555555556 7.90909090909091 18 1
-0.591034 29.994167 -27903.08 0 25 1
-0.586264 31.666526 -15155.5 0.300699300699301 24 1
-0.555452 31.545267 8843.90909090909 0 22 1
-0.554126 30.674883 130302.428571429 2.9 21 1
-0.547999 30.060209 -18238.8181818182 0.027972027972028 22 1
-0.547324 30.134746 118185.55 1.75524475524476 20 1
-0.480598 31.35714 349.333333333333 0 24 1
-0.439917 31.669382 37559.44 0 25 1
-0.417413 30.381632 -27963.68 0 25 1
-0.380237 31.513526 11541.1739130435 1.18939393939394 23 1
-0.377111 31.332236 92893.3043478261 0.809917355371901 23 1
-0.375025 30.567537 8757.16 0 25 1
-0.364611 31.318073 70270.0833333333 0.413223140495868 24 1
-0.334138 31.643582 -20483.88 0.289256198347107 25 1
-0.310162 30.047626 -34619 0 19 1
-0.301662 31.766108 96639.3043478261 7.69421487603306 23 1
-0.241844 31.160065 -23805.2916666667 0.247933884297521 24 1
-0.205651 31.346449 -2740.5 0 22 1
-0.2031 30.696948 10259.5652173913 0 23 1
-0.202705 30.380418 -44749.5909090909 0 22 1
-0.180641 30.230193 -49884.8 0 20 1
-0.149143 31.887567 97722.5 1.37272727272727 22 1
-0.114633 33.69437 -41717.25 0 12 1
-0.113822 30.327723 -54840.88 0 25 1
-0.093981 31.813163 -23050.36 0 25 1
-0.067384 32.122295 -20585.8695652174 0 23 1
-0.065719 31.595552 1954.52173913043 0 23 1
-0.008755 31.445721 -23197.2916666667 0 24 1
0.001891 31.96699 -48938.7916666667 0 24 1
0.028524 29.886201 -7344.16666666667 0 24 1
0.031863 29.759365 -18512.84 1.48760330578512 25 1
0.038669 31.704869 -41130.9166666667 0 24 1
0.042744 31.867694 -12824.375 0 24 1
0.059664 32.461734 156288.571428571 13.2454545454545 21 1
0.067261 32.458626 162610.909090909 12.6446280991736 22 1
0.090519 30.40788 -51468 0 24 1
0.095612 29.969078 -24104.25 0 24 1
0.133052 30.573348 -25312 0 23 1
0.133683 30.579238 -42801.2608695652 0 23 1
0.142807 33.319904 -42922.8695652174 0 23 1
0.148568 32.473697 207891.681818182 4.55371900826446 22 1
0.176507 30.078548 145513.142857143 4.90909090909091 21 1
0.187 32.19979 -114.304347826087 0.363636363636364 23 1
0.188008 31.797959 -25985.44 0 25 1
0.189633 30.094937 113482.72 4.00826446280992 25 1
0.196479 32.33155 37820 2.19090909090909 22 1
0.210348 30.375301 -55760.9166666667 0 24 1
0.216235 30.445981 -17208.88 0 25 1
0.220286 33.763475 -68298.75 0 20 1
0.226449 32.557105 117108.0625 18.4214876033058 16 1
0.244854 32.575221 91110.4090909091 26.8099173553719 22 1
0.245336 32.637751 152793 16.2583333333333 24 1
0.248471 32.913428 1482.83333333333 0 24 1
0.255598 32.562104 156910.318181818 33.25 22 1
0.267553 32.582811 129129.181818182 40.1239669421488 22 1
0.278124 32.586397 164540.04 44.2479338842975 25 1
0.285922 32.553927 166567.875 42.0151515151515 24 1
0.286072 32.564358 165098.052631579 45.9173553719008 19 1
0.28883 32.572195 120370.166666667 50.5206611570248 24 1
0.290288 32.63996 189571.681818182 31.9173553719008 22 1
0.291511 32.604701 204335.04 47.3560606060606 25 1
0.292881 32.547523 128809.48 43.9338842975207 25 1
0.296695 32.595668 183270.833333333 51.575 24 1
0.299065 32.545582 144885.894736842 43.8333333333333 19 1
0.299081 32.593913 154098.647058824 53.8595041322314 17 1
0.299188 32.613534 241239.769230769 47.6212121212121 13 1
0.302669 32.602866 150336.125 52.3388429752066 24 1
0.303301 32.492145 162478.9375 20.0818181818182 16 1
0.303904 32.566707 110179.956521739 53.2454545454545 23 1
0.30406 30.142057 -4619.08333333333 2.03636363636364 24 1
0.304083 32.641462 184184.571428571 36.4818181818182 21 1
0.304638 32.524993 105954.636363636 36.6181818181818 22 1
0.304866 32.632625 166545.045454545 40.7636363636364 22 1
0.305408 32.599922 90490.52 54.7438016528926 25 1
0.307213 32.626443 139934.529411765 45.8677685950413 17 1
0.307526 31.984033 -19901.88 0 25 1
0.309954 32.546801 182867.789473684 45.2121212121212 19 1
0.311553 32.608876 80145.5 52.4462809917355 24 1
0.311809 32.525559 144150.777777778 37.2636363636364 18 1
0.31598 30.193858 -38392.5416666667 2.63636363636364 24 1
0.317532 32.550555 50410.1904761905 48.2809917355372 21 1
0.317991 32.613356 171609.45 52.219696969697 20 1
0.318557 32.576431 155072.380952381 56.3801652892562 21 1
0.320293 32.65447 171903.842105263 34.975 19 1
0.320455 32.612117 129232.24 53.6833333333333 25 1
0.323517 32.57555 280393.105263158 56.5206611570248 19 1
0.324509 32.533182 173224.45 40.7685950413223 20 1
0.324718 32.578131 138258.222222222 56.3712121212121 18 1
