"lat" "lon" "cons" "nl" "n" "sample"
-1.46793389320374 29.9231452941895 2.80149774894565 0.4995670995671 1 1
-1.40499544143677 29.949390411377 2.31635160592825 0 12 1
-1.38021421432495 30.0106334686279 2.36158980012298 0 2 1
-1.34085130691528 29.7682571411133 1.59485107544833 0 11 1
-1.25521552562714 30.0568199157715 3.85290938373634 0.909090909090909 10 1
-1.24142968654633 29.9611663818359 2.77638489325084 0.935828877005348 8 1
-1.24129557609558 29.7741756439209 5.34060536206289 0.316804407713499 1 1
-1.19142282009125 29.8102531433105 3.70101544693842 0 1 1
-1.16621911525726 29.7942943572998 2.97142092118475 0 7 1
-1.15726232528687 30.0624504089355 2.67940825933864 0 8 1
-1.15060031414032 29.6728382110596 2.22604879845555 0 11 1
-1.15031540393829 29.5914306640625 2.11537550583271 0 1 1
-0.987176835536957 30.1298351287842 3.19600787854286 0.18 10 1
-0.982336580753326 30.45973777771 2.19634186625164 0 8 1
-0.96490079164505 29.9596881866455 3.37674603117169 0 9 1
-0.946784973144531 30.3120307922363 3.48074057928124 0 1 1
-0.925601899623871 30.7941589355469 2.50274963006479 0 9 1
-0.92032378911972 29.8012294769287 2.95632786927441 0 9 1
-0.90362673997879 31.7654724121094 10.1765897861905 0 1 1
-0.896750926971436 29.7783241271973 5.9309233383357 0 7 1
-0.8871248960495 31.711088180542 3.93952497760206 0 9 1
-0.867663264274597 30.3541145324707 1.99297186790734 0 9 1
-0.860807299613953 30.2692756652832 11.9945342901394 0.710227272727273 7 1
-0.855295062065125 30.6595821380615 3.03460436146836 0 12 1
-0.779665112495422 29.6530265808105 2.23679743784777 0 9 1
-0.760570764541626 30.1790943145752 3.67936294356223 0 7 1
-0.757246434688568 30.8071994781494 5.86954879103625 0 7 1
-0.74503880739212 30.4248142242432 2.65910899420027 0.106666666666667 8 1
-0.69743824005127 30.4774150848389 4.50475576502924 0 1 1
-0.670389473438263 31.1604404449463 2.25625186187108 0 1 1
-0.654303014278412 30.3842182159424 3.48130927850619 0.0384615384615385 2 1
-0.640430748462677 29.8059825897217 2.10431121403148 0 9 1
-0.639231383800507 31.5299892425537 10.8846585441413 2.40909090909091 9 1
-0.619053721427917 29.9435253143311 2.511262899441 0 1 1
-0.612109959125519 31.1836376190186 3.16625067536262 0 1 1
-0.608761012554169 30.6722297668457 9.19070442822371 8.54545454545454 6 1
-0.603493630886078 29.9941101074219 6.12227308945278 0 1 1
-0.60032856464386 30.6659412384033 4.62455087235623 9.27972027972028 1 1
-0.593402326107025 30.6618728637695 8.72111507916949 9.39160839160839 2 1
-0.59185004234314 29.8889656066895 2.75894041498012 0 1 1
-0.588487982749939 30.6899280548096 3.78416089122708 7.3986013986014 1 1
-0.579034507274628 31.5738925933838 3.2590358460341 1.20769230769231 1 1
